vel10,ang10,T,HR,P,vel2,ang2,vel6,ang6,station,date,altitud,latitud,longitud
1.0,271.0,10.3,67.0,947.6,-1.0,-1.0,-1.0,-1.0,CJ,2021-05-13 00:00:00,566.5,42.21624,1.33132
-1.0,-1.0,10.9,68.0,-1.0,2.2,253.0,-1.0,-1.0,UM,2021-05-13 00:00:00,505,41.35991,0.66789
4.9,238.0,8.3,80.0,-1.0,-1.0,-1.0,-1.0,-1.0,YH,2021-05-13 00:00:00,747,41.71734,1.42403
4.3,234.0,11.3,69.0,957.0,-1.0,-1.0,-1.0,-1.0,MR,2021-05-13 00:00:00,500,41.25079,0.9106
7.0,271.0,14.7,61.0,-1.0,-1.0,-1.0,-1.0,-1.0,VB,2021-05-13 00:00:00,32,41.06289,0.63517
-1.0,-1.0,7.7,77.0,-1.0,0.8,41.0,-1.0,-1.0,VO,2021-05-13 00:00:00,785,42.08745,1.42792
-1.0,-1.0,11.8,67.0,-1.0,3.1,282.0,-1.0,-1.0,XP,2021-05-13 00:00:00,349,41.06581,0.43006
-1.0,-1.0,14.6,63.0,-1.0,0.5,259.0,-1.0,-1.0,YO,2021-05-13 00:00:00,,,
3.9,253.0,10.7,71.0,965.0,-1.0,-1.0,-1.0,-1.0,C7,2021-05-13 00:00:00,427,41.66695,1.16234
7.6,252.0,11.9,67.0,983.7,-1.0,-1.0,-1.0,-1.0,C6,2021-05-13 00:00:00,264,41.6566,0.95172
5.7,244.0,9.9,73.0,950.0,-1.0,-1.0,-1.0,-1.0,C8,2021-05-13 00:00:00,554,41.67555,1.29609
2.8,280.0,14.6,54.0,988.3,-1.0,-1.0,-1.0,-1.0,C9,2021-05-13 00:00:00,240,40.71825,0.39988
0.5,242.0,7.8,84.0,941.0,-1.0,-1.0,-1.0,-1.0,CC,2021-05-13 00:00:00,626,42.07398,2.20862
1.9,352.0,9.2,60.0,916.6,-1.0,-1.0,-1.0,-1.0,CD,2021-05-13 00:00:00,849,42.37083,1.43277
2.2,310.0,13.6,58.0,977.1,-1.0,-1.0,-1.0,-1.0,CE,2021-05-13 00:00:00,316,41.53109,1.80813
0.6,79.0,5.7,78.0,856.6,-1.0,-1.0,-1.0,-1.0,CG,2021-05-13 00:00:00,1405,42.37717,2.41456
0.3,209.0,7.6,100.0,915.8,-1.0,-1.0,-1.0,-1.0,CI,2021-05-13 00:00:00,852,42.25839,2.36429
1.9,221.0,13.8,58.0,973.1,-1.0,-1.0,-1.0,-1.0,CL,2021-05-13 00:00:00,349,41.67399,1.76796
3.8,78.0,7.8,85.0,934.5,-1.0,-1.0,-1.0,-1.0,CP,2021-05-13 00:00:00,690,42.13924,1.03893
0.5,160.0,9.9,73.0,944.9,-1.0,-1.0,-1.0,-1.0,CQ,2021-05-13 00:00:00,594,41.99546,1.02569
0.4,238.0,7.1,84.0,913.3,-1.0,-1.0,-1.0,-1.0,CR,2021-05-13 00:00:00,873,42.08032,1.9624
0.6,358.0,4.3,89.0,919.9,-1.0,-1.0,-1.0,-1.0,CT,2021-05-13 00:00:00,823,42.39811,0.74362
5.5,276.0,12.5,56.0,962.3,-1.0,-1.0,-1.0,-1.0,CW,2021-05-13 00:00:00,446,41.39241,1.09894
3.3,178.0,10.3,71.0,919.9,-1.0,-1.0,-1.0,-1.0,CY,2021-05-13 00:00:00,816,41.87813,2.17873
4.4,235.0,12.2,75.0,968.8,-1.0,-1.0,-1.0,-1.0,D1,2021-05-13 00:00:00,404,41.28521,0.75383
-1.0,-1.0,12.4,72.0,973.7,-1.0,-1.0,-1.0,-1.0,D2,2021-05-13 00:00:00,343,41.59252,1.915
0.6,5.0,14.8,70.0,984.5,-1.0,-1.0,-1.0,-1.0,D3,2021-05-13 00:00:00,252,41.38197,1.93564
3.1,15.0,15.5,46.0,1010.6,-1.0,-1.0,-1.0,-1.0,D4,2021-05-13 00:00:00,24,42.27065,3.18165
3.1,165.0,12.5,78.0,966.6,-1.0,-1.0,-1.0,-1.0,D5,2021-05-13 00:00:00,411.2,41.41843,2.12388
16.3,337.0,11.8,59.0,989.4,-1.0,-1.0,-1.0,-1.0,D6,2021-05-13 00:00:00,196,42.43515,3.16622
1.4,249.0,14.6,62.0,1010.6,-1.0,-1.0,-1.0,-1.0,D7,2021-05-13 00:00:00,53,41.18499,0.59376
5.7,288.0,10.8,70.0,957.1,-1.0,-1.0,-1.0,-1.0,D8,2021-05-13 00:00:00,515,40.95134,0.30565
1.4,275.0,15.7,54.0,1007.7,-1.0,-1.0,-1.0,-1.0,D9,2021-05-13 00:00:00,59,41.21553,1.52121
8.1,292.0,15.1,58.0,995.2,-1.0,-1.0,-1.0,-1.0,DB,2021-05-13 00:00:00,179,40.87287,0.71581
0.3,192.0,10.0,93.0,1010.5,-1.0,-1.0,-1.0,-1.0,DF,2021-05-13 00:00:00,28.6,41.97751,3.03543
0.4,187.0,2.0,95.0,799.1,-1.0,-1.0,-1.0,-1.0,DG,2021-05-13 00:00:00,1971.4,42.39848,2.15517
3.3,260.0,13.9,51.0,966.1,-1.0,-1.0,-1.0,-1.0,DI,2021-05-13 00:00:00,415,41.43292,1.62386
0.9,322.0,11.4,98.0,992.8,-1.0,-1.0,-1.0,-1.0,DJ,2021-05-13 00:00:00,176,42.11653,2.78969
4.2,268.0,18.1,47.0,1014.4,-1.0,-1.0,-1.0,-1.0,DK,2021-05-13 00:00:00,2,41.14677,1.41846
4.4,318.0,17.0,60.0,1015.8,-1.0,-1.0,-1.0,-1.0,DL,2021-05-13 00:00:00,0.5,40.70719,0.83449
0.6,262.0,9.4,93.0,996.2,-1.0,-1.0,-1.0,-1.0,DN,2021-05-13 00:00:00,150,41.96095,2.63108
1.6,252.0,11.2,83.0,1012.5,-1.0,-1.0,-1.0,-1.0,DO,2021-05-13 00:00:00,14,41.80857,3.03241
4.5,72.0,6.4,64.0,889.7,-1.0,-1.0,-1.0,-1.0,DP,2021-05-13 00:00:00,1097,42.38605,1.8664
2.2,263.0,15.5,46.0,981.2,-1.0,-1.0,-1.0,-1.0,DQ,2021-05-13 00:00:00,287,41.30728,1.36259
1.3,336.0,10.6,73.0,975.3,-1.0,-1.0,-1.0,-1.0,H1,2021-05-13 00:00:00,333,41.58642,1.65306
-1.0,-1.0,10.1,96.0,-1.0,-1.0,-1.0,-1.0,-1.0,KP,2021-05-13 00:00:00,36,41.73894,2.69436
-1.0,-1.0,9.8,83.0,-1.0,-1.0,-1.0,-1.0,-1.0,MQ,2021-05-13 00:00:00,402,41.92047,1.69584
-1.0,-1.0,7.1,87.0,-1.0,-1.0,-1.0,-1.0,-1.0,MS,2021-05-13 00:00:00,938,42.25978,1.97747
-1.0,-1.0,4.9,94.0,-1.0,-1.0,-1.0,-1.0,-1.0,MV,2021-05-13 00:00:00,845,42.13598,1.67295
-1.0,-1.0,14.7,48.0,-1.0,3.2,323.0,-1.0,-1.0,U1,2021-05-13 00:00:00,31,42.30648,2.95481
3.2,318.0,14.7,51.0,1013.1,-1.0,-1.0,-1.0,-1.0,U2,2021-05-13 00:00:00,4,42.17716,3.0968
-1.0,-1.0,15.5,50.0,-1.0,1.8,265.0,-1.0,-1.0,U3,2021-05-13 00:00:00,257,41.37491,1.63032
4.3,233.0,11.8,67.0,-1.0,-1.0,-1.0,-1.0,-1.0,U4,2021-05-13 00:00:00,507,41.83094,1.84699
-1.0,-1.0,15.7,63.0,-1.0,1.6,265.0,-1.0,-1.0,U6,2021-05-13 00:00:00,29,41.08017,1.06661
-1.0,-1.0,16.6,52.0,-1.0,2.0,343.0,-1.0,-1.0,U7,2021-05-13 00:00:00,52,40.85936,0.50525
