vel10,ang10,T,HR,P,vel2,ang2,vel6,ang6,station,date,altitud,latitud,longitud
0.2,48.0,15.3,85.0,943.1,-1.0,-1.0,-1.0,-1.0,CC,2013-09-18 00:00:00,626,42.07398,2.20862
0.2,4.0,12.3,74.0,918.5,-1.0,-1.0,-1.0,-1.0,CD,2013-09-18 00:00:00,849,42.37083,1.43277
2.8,319.0,16.2,91.0,978.2,-1.0,-1.0,-1.0,-1.0,CE,2013-09-18 00:00:00,316,41.53109,1.80813
0.9,18.0,7.9,88.0,859.2,-1.0,-1.0,-1.0,-1.0,CG,2013-09-18 00:00:00,1405,42.37717,2.41456
2.8,245.0,11.7,93.0,917.7,-1.0,-1.0,-1.0,-1.0,CI,2013-09-18 00:00:00,852,42.25839,2.36429
0.8,293.0,10.0,95.0,949.9,-1.0,-1.0,-1.0,-1.0,CJ,2013-09-18 00:00:00,566.5,42.21624,1.33132
0.5,173.0,13.1,98.0,974.8,-1.0,-1.0,-1.0,-1.0,CL,2013-09-18 00:00:00,349,41.67399,1.76796
2.6,110.0,14.1,72.0,936.6,-1.0,-1.0,-1.0,-1.0,CP,2013-09-18 00:00:00,690,42.13924,1.03893
0.8,10.0,11.8,84.0,947.3,-1.0,-1.0,-1.0,-1.0,CQ,2013-09-18 00:00:00,594,41.99546,1.02569
1.0,211.0,13.0,99.0,916.6,-1.0,-1.0,-1.0,-1.0,CR,2013-09-18 00:00:00,873,42.08032,1.9624
0.4,13.0,7.9,95.0,922.1,-1.0,-1.0,-1.0,-1.0,CT,2013-09-18 00:00:00,823,42.39811,0.74362
0.8,182.0,8.9,91.0,902.9,-1.0,-1.0,-1.0,-1.0,CU,2013-09-18 00:00:00,1002,42.69856,0.79397
0.1,244.0,11.4,90.0,955.8,-1.0,-1.0,-1.0,-1.0,CV,2013-09-18 00:00:00,513.3,42.23939,0.96434
1.8,224.0,12.9,75.0,963.8,-1.0,-1.0,-1.0,-1.0,CW,2013-09-18 00:00:00,446,41.39241,1.09894
