vel10,ang10,T,HR,P,vel2,ang2,vel6,ang6,station,date,altitud,latitud,longitud
0.5,229.0,7.6,93.0,935.5,-1.0,-1.0,-1.0,-1.0,CC,2012-11-04 00:00:00,626,42.07398,2.20862
0.8,353.0,8.3,83.0,912.4,-1.0,-1.0,-1.0,-1.0,CD,2012-11-04 00:00:00,849,42.37083,1.43277
3.1,258.0,12.4,79.0,970.8,-1.0,-1.0,-1.0,-1.0,CE,2012-11-04 00:00:00,316,41.53109,1.80813
1.6,323.0,9.3,63.0,851.7,-1.0,-1.0,-1.0,-1.0,CG,2012-11-04 00:00:00,1405,42.37717,2.41456
0.9,215.0,6.3,90.0,909.9,-1.0,-1.0,-1.0,-1.0,CI,2012-11-04 00:00:00,852,42.25839,2.36429
0.8,269.0,8.2,93.0,944.5,-1.0,-1.0,-1.0,-1.0,CJ,2012-11-04 00:00:00,566.5,42.21624,1.33132
0.3,279.0,8.9,97.0,967.4,-1.0,-1.0,-1.0,-1.0,CL,2012-11-04 00:00:00,349,41.67399,1.76796
0.5,117.0,11.0,75.0,930.2,-1.0,-1.0,-1.0,-1.0,CP,2012-11-04 00:00:00,690,42.13924,1.03893
0.8,355.0,11.2,81.0,939.9,-1.0,-1.0,-1.0,-1.0,CQ,2012-11-04 00:00:00,594,41.99546,1.02569
0.7,14.0,7.8,91.0,909.0,-1.0,-1.0,-1.0,-1.0,CR,2012-11-04 00:00:00,873,42.08032,1.9624
0.1,17.0,8.7,95.0,915.4,-1.0,-1.0,-1.0,-1.0,CT,2012-11-04 00:00:00,823,42.39811,0.74362
1.4,185.0,10.0,73.0,892.8,-1.0,-1.0,-1.0,-1.0,CU,2012-11-04 00:00:00,1002,42.69856,0.79397
1.7,23.0,11.3,80.0,949.5,-1.0,-1.0,-1.0,-1.0,CV,2012-11-04 00:00:00,513.3,42.23939,0.96434
1.6,260.0,9.9,88.0,956.4,-1.0,-1.0,-1.0,-1.0,CW,2012-11-04 00:00:00,446,41.39241,1.09894
6.0,255.0,12.8,71.0,914.9,-1.0,-1.0,-1.0,-1.0,CY,2012-11-04 00:00:00,816,41.87813,2.17873
