vel10,ang10,T,HR,P,vel2,ang2,vel6,ang6,station,date,altitud,latitud,longitud
0.4,80.0,11.9,58.0,933.1,-1.0,-1.0,-1.0,-1.0,CA,2012-04-27 00:00:00,693,41.95378,1.5851
1.0,325.0,12.1,60.0,940.3,-1.0,-1.0,-1.0,-1.0,CC,2012-04-27 00:00:00,626,42.07398,2.20862
0.4,260.0,10.1,56.0,915.6,-1.0,-1.0,-1.0,-1.0,CD,2012-04-27 00:00:00,849,42.37083,1.43277
1.4,349.0,12.9,87.0,975.5,-1.0,-1.0,-1.0,-1.0,CE,2012-04-27 00:00:00,316,41.53109,1.80813
1.2,224.0,9.7,52.0,857.5,-1.0,-1.0,-1.0,-1.0,CG,2012-04-27 00:00:00,1405,42.37717,2.41456
0.8,155.0,6.7,85.0,915.8,-1.0,-1.0,-1.0,-1.0,CI,2012-04-27 00:00:00,852,42.25839,2.36429
1.5,339.0,10.3,64.0,947.1,-1.0,-1.0,-1.0,-1.0,CJ,2012-04-27 00:00:00,566.5,42.21624,1.33132
0.8,184.0,11.6,85.0,971.9,-1.0,-1.0,-1.0,-1.0,CL,2012-04-27 00:00:00,349,41.67399,1.76796
2.3,138.0,15.7,38.0,932.9,-1.0,-1.0,-1.0,-1.0,CP,2012-04-27 00:00:00,690,42.13924,1.03893
1.5,24.0,13.5,50.0,943.6,-1.0,-1.0,-1.0,-1.0,CQ,2012-04-27 00:00:00,594,41.99546,1.02569
2.6,44.0,10.6,65.0,913.9,-1.0,-1.0,-1.0,-1.0,CR,2012-04-27 00:00:00,873,42.08032,1.9624
0.4,38.0,7.0,77.0,918.4,-1.0,-1.0,-1.0,-1.0,CT,2012-04-27 00:00:00,823,42.39811,0.74362
1.6,151.0,14.5,41.0,896.4,-1.0,-1.0,-1.0,-1.0,CU,2012-04-27 00:00:00,1002,42.69856,0.79397
0.7,332.0,11.2,61.0,952.5,-1.0,-1.0,-1.0,-1.0,CV,2012-04-27 00:00:00,513.3,42.23939,0.96434
5.4,33.0,14.1,60.0,959.3,-1.0,-1.0,-1.0,-1.0,CW,2012-04-27 00:00:00,446,41.39241,1.09894
0.7,45.0,11.8,55.0,919.8,-1.0,-1.0,-1.0,-1.0,CY,2012-04-27 00:00:00,816,41.87813,2.17873
4.9,59.0,15.4,57.0,979.9,-1.0,-1.0,-1.0,-1.0,C6,2012-04-27 00:00:00,264,41.6566,0.95172
3.4,96.0,15.6,46.0,961.7,-1.0,-1.0,-1.0,-1.0,C7,2012-04-27 00:00:00,427,41.66695,1.16234
3.5,159.0,14.7,53.0,947.2,-1.0,-1.0,-1.0,-1.0,C8,2012-04-27 00:00:00,554,41.67555,1.29609
0.9,1.0,13.7,92.0,983.4,-1.0,-1.0,-1.0,-1.0,C9,2012-04-27 00:00:00,240,40.71825,0.39988
3.2,105.0,13.9,98.0,990.4,-1.0,-1.0,-1.0,-1.0,DB,2012-04-27 00:00:00,179,40.87287,0.71581
0.6,39.0,11.3,90.0,963.6,-1.0,-1.0,-1.0,-1.0,DC,2012-04-27 00:00:00,421.5,42.19144,2.48263
1.8,27.0,13.9,79.0,1006.6,-1.0,-1.0,-1.0,-1.0,DD,2012-04-27 00:00:00,44.5,41.51175,2.38674
0.8,30.0,12.9,97.0,1009.9,-1.0,-1.0,-1.0,-1.0,DF,2012-04-27 00:00:00,28.6,41.97751,3.03543
1.2,232.0,6.7,51.0,801.3,-1.0,-1.0,-1.0,-1.0,DG,2012-04-27 00:00:00,1971.4,42.39848,2.15517
2.4,15.0,12.6,79.0,964.6,-1.0,-1.0,-1.0,-1.0,DI,2012-04-27 00:00:00,415,41.43292,1.62386
1.3,5.0,12.5,98.0,992.3,-1.0,-1.0,-1.0,-1.0,DJ,2012-04-27 00:00:00,176,42.11653,2.78969
1.2,334.0,14.5,96.0,1011.9,-1.0,-1.0,-1.0,-1.0,DK,2012-04-27 00:00:00,2,41.14677,1.41846
1.2,125.0,15.8,96.0,1011.3,-1.0,-1.0,-1.0,-1.0,DL,2012-04-27 00:00:00,0.5,40.70719,0.83449
1.1,274.0,10.3,92.0,995.2,-1.0,-1.0,-1.0,-1.0,DN,2012-04-27 00:00:00,150,41.96095,2.63108
1.3,269.0,11.1,96.0,1011.3,-1.0,-1.0,-1.0,-1.0,DO,2012-04-27 00:00:00,14,41.80857,3.03241
1.1,149.0,5.2,74.0,889.0,-1.0,-1.0,-1.0,-1.0,DP,2012-04-27 00:00:00,1097,42.38605,1.8664
