vel10,ang10,T,HR,P,vel2,ang2,vel6,ang6,station,date,altitud,latitud,longitud
0.7,329.0,19.5,58.0,937.0,-1.0,-1.0,-1.0,-1.0,CA,2009-05-24 00:00:00,693,41.95378,1.5851
0.6,233.0,15.7,76.0,945.0,-1.0,-1.0,-1.0,-1.0,CC,2009-05-24 00:00:00,626,42.07398,2.20862
1.1,88.0,14.9,80.0,922.0,-1.0,-1.0,-1.0,-1.0,CD,2009-05-24 00:00:00,849,42.37083,1.43277
2.9,322.0,19.8,72.0,978.0,-1.0,-1.0,-1.0,-1.0,CE,2009-05-24 00:00:00,316,41.53109,1.80813
1.2,23.0,16.1,39.0,864.0,-1.0,-1.0,-1.0,-1.0,CG,2009-05-24 00:00:00,1405,42.37717,2.41456
1.8,91.0,14.5,67.0,921.0,-1.0,-1.0,-1.0,-1.0,CI,2009-05-24 00:00:00,852,42.25839,2.36429
2.6,11.0,16.1,83.0,953.0,-1.0,-1.0,-1.0,-1.0,CJ,2009-05-24 00:00:00,566.5,42.21624,1.33132
0.7,36.0,16.2,81.0,976.0,-1.0,-1.0,-1.0,-1.0,CL,2009-05-24 00:00:00,349,41.67399,1.76796
3.5,73.0,19.8,41.0,938.0,-1.0,-1.0,-1.0,-1.0,CP,2009-05-24 00:00:00,690,42.13924,1.03893
2.7,6.0,18.9,54.0,948.0,-1.0,-1.0,-1.0,-1.0,CQ,2009-05-24 00:00:00,594,41.99546,1.02569
3.8,48.0,18.3,57.0,918.0,-1.0,-1.0,-1.0,-1.0,CR,2009-05-24 00:00:00,873,42.08032,1.9624
0.6,356.0,13.8,81.0,924.0,-1.0,-1.0,-1.0,-1.0,CT,2009-05-24 00:00:00,823,42.39811,0.74362
2.3,190.0,11.5,84.0,905.0,-1.0,-1.0,-1.0,-1.0,CU,2009-05-24 00:00:00,1002,42.69856,0.79397
2.3,2.0,19.7,48.0,957.0,-1.0,-1.0,-1.0,-1.0,CV,2009-05-24 00:00:00,513.3,42.23939,0.96434
0.8,244.0,19.1,70.0,965.0,-1.0,-1.0,-1.0,-1.0,CW,2009-05-24 00:00:00,446,41.39241,1.09894
1.5,76.0,18.2,82.0,925.0,-1.0,-1.0,-1.0,-1.0,CY,2009-05-24 00:00:00,816,41.87813,2.17873
3.0,134.0,18.7,76.0,985.0,-1.0,-1.0,-1.0,-1.0,C6,2009-05-24 00:00:00,264,41.6566,0.95172
3.9,135.0,19.7,62.0,966.0,-1.0,-1.0,-1.0,-1.0,C7,2009-05-24 00:00:00,427,41.66695,1.16234
0.9,174.0,18.8,62.0,952.0,-1.0,-1.0,-1.0,-1.0,C8,2009-05-24 00:00:00,554,41.67555,1.29609
1.6,350.0,20.1,72.0,988.0,-1.0,-1.0,-1.0,-1.0,C9,2009-05-24 00:00:00,240,40.71825,0.39988
1.9,51.0,18.7,82.0,995.0,-1.0,-1.0,-1.0,-1.0,DB,2009-05-24 00:00:00,179,40.87287,0.71581
0.6,234.0,16.9,90.0,968.0,-1.0,-1.0,-1.0,-1.0,DC,2009-05-24 00:00:00,421.5,42.19144,2.48263
0.8,54.0,17.3,89.0,1010.0,-1.0,-1.0,-1.0,-1.0,DD,2009-05-24 00:00:00,44.5,41.51175,2.38674
0.0,214.0,15.1,92.0,1013.0,-1.0,-1.0,-1.0,-1.0,DF,2009-05-24 00:00:00,28.6,41.97751,3.03543
1.0,78.0,8.3,63.0,809.0,-1.0,-1.0,-1.0,-1.0,DG,2009-05-24 00:00:00,1971.4,42.39848,2.15517
2.9,43.0,21.9,60.0,968.0,-1.0,-1.0,-1.0,-1.0,DI,2009-05-24 00:00:00,415,41.43292,1.62386
1.1,337.0,17.6,90.0,996.0,-1.0,-1.0,-1.0,-1.0,DJ,2009-05-24 00:00:00,176,42.11653,2.78969
1.5,279.0,19.5,80.0,1015.0,-1.0,-1.0,-1.0,-1.0,DK,2009-05-24 00:00:00,2,41.14677,1.41846
