vel10,ang10,T,HR,P,vel2,ang2,vel6,ang6,station,date,altitud,latitud,longitud
1.0,63.0,20.2,68.0,948.9,-1.0,-1.0,-1.0,-1.0,CC,2012-08-10 00:00:00,626,42.07398,2.20862
1.3,6.0,21.6,46.0,925.6,-1.0,-1.0,-1.0,-1.0,CD,2012-08-10 00:00:00,849,42.37083,1.43277
0.8,288.0,22.7,46.0,982.7,-1.0,-1.0,-1.0,-1.0,CE,2012-08-10 00:00:00,316,41.53109,1.80813
1.3,7.0,18.1,66.0,868.4,-1.0,-1.0,-1.0,-1.0,CG,2012-08-10 00:00:00,1405,42.37717,2.41456
0.3,194.0,15.0,88.0,925.2,-1.0,-1.0,-1.0,-1.0,CI,2012-08-10 00:00:00,852,42.25839,2.36429
1.1,292.0,20.7,54.0,955.9,-1.0,-1.0,-1.0,-1.0,CJ,2012-08-10 00:00:00,566.5,42.21624,1.33132
0.6,153.0,18.3,67.0,979.6,-1.0,-1.0,-1.0,-1.0,CL,2012-08-10 00:00:00,349,41.67399,1.76796
2.1,41.0,25.5,38.0,942.4,-1.0,-1.0,-1.0,-1.0,CP,2012-08-10 00:00:00,690,42.13924,1.03893
1.7,2.0,23.9,51.0,952.8,-1.0,-1.0,-1.0,-1.0,CQ,2012-08-10 00:00:00,594,41.99546,1.02569
1.1,358.0,22.7,47.0,923.4,-1.0,-1.0,-1.0,-1.0,CR,2012-08-10 00:00:00,873,42.08032,1.9624
0.6,14.0,15.3,81.0,929.0,-1.0,-1.0,-1.0,-1.0,CT,2012-08-10 00:00:00,823,42.39811,0.74362
1.9,178.0,16.7,79.0,909.8,-1.0,-1.0,-1.0,-1.0,CU,2012-08-10 00:00:00,1002,42.69856,0.79397
0.3,154.0,21.4,55.0,961.6,-1.0,-1.0,-1.0,-1.0,CV,2012-08-10 00:00:00,513.3,42.23939,0.96434
0.5,304.0,18.7,53.0,968.6,-1.0,-1.0,-1.0,-1.0,CW,2012-08-10 00:00:00,446,41.39241,1.09894
1.0,84.0,22.4,61.0,928.7,-1.0,-1.0,-1.0,-1.0,CY,2012-08-10 00:00:00,816,41.87813,2.17873
2.6,72.0,20.9,55.0,988.1,-1.0,-1.0,-1.0,-1.0,C6,2012-08-10 00:00:00,264,41.6566,0.95172
4.0,46.0,25.6,35.0,970.1,-1.0,-1.0,-1.0,-1.0,C7,2012-08-10 00:00:00,427,41.66695,1.16234
1.6,128.0,23.5,38.0,955.7,-1.0,-1.0,-1.0,-1.0,C8,2012-08-10 00:00:00,554,41.67555,1.29609
1.2,291.0,22.1,90.0,991.7,-1.0,-1.0,-1.0,-1.0,C9,2012-08-10 00:00:00,240,40.71825,0.39988
1.3,110.0,22.5,76.0,998.3,-1.0,-1.0,-1.0,-1.0,DB,2012-08-10 00:00:00,179,40.87287,0.71581
1.1,204.0,19.8,76.0,971.2,-1.0,-1.0,-1.0,-1.0,DC,2012-08-10 00:00:00,421.5,42.19144,2.48263
0.9,341.0,22.4,63.0,1013.5,-1.0,-1.0,-1.0,-1.0,DD,2012-08-10 00:00:00,44.5,41.51175,2.38674
0.6,201.0,19.8,74.0,1015.2,-1.0,-1.0,-1.0,-1.0,DF,2012-08-10 00:00:00,28.6,41.97751,3.03543
1.1,27.0,13.5,64.0,813.4,-1.0,-1.0,-1.0,-1.0,DG,2012-08-10 00:00:00,1971.4,42.39848,2.15517
0.8,266.0,23.2,38.0,972.2,-1.0,-1.0,-1.0,-1.0,DI,2012-08-10 00:00:00,415,41.43292,1.62386
0.6,319.0,23.5,63.0,998.3,-1.0,-1.0,-1.0,-1.0,DJ,2012-08-10 00:00:00,176,42.11653,2.78969
2.0,283.0,22.8,82.0,1018.9,-1.0,-1.0,-1.0,-1.0,DK,2012-08-10 00:00:00,2,41.14677,1.41846
0.3,41.0,23.6,91.0,1018.9,-1.0,-1.0,-1.0,-1.0,DL,2012-08-10 00:00:00,0.5,40.70719,0.83449
0.6,89.0,19.8,82.0,1001.4,-1.0,-1.0,-1.0,-1.0,DN,2012-08-10 00:00:00,150,41.96095,2.63108
2.9,254.0,20.4,69.0,1017.0,-1.0,-1.0,-1.0,-1.0,DO,2012-08-10 00:00:00,14,41.80857,3.03241
0.6,185.0,14.3,75.0,900.3,-1.0,-1.0,-1.0,-1.0,DP,2012-08-10 00:00:00,1097,42.38605,1.8664
0.9,1.0,19.5,42.0,987.0,-1.0,-1.0,-1.0,-1.0,DQ,2012-08-10 00:00:00,287,41.30728,1.36259
-1.0,-1.0,22.1,50.0,972.6,-1.0,-1.0,-1.0,-1.0,D1,2012-08-10 00:00:00,404,41.28521,0.75383
-1.0,-1.0,18.5,79.0,980.2,-1.0,-1.0,-1.0,-1.0,D2,2012-08-10 00:00:00,343,41.59252,1.915
1.4,273.0,23.1,32.0,989.6,-1.0,-1.0,-1.0,-1.0,D3,2012-08-10 00:00:00,252,41.38197,1.93564
0.7,34.0,22.4,62.0,1015.2,-1.0,-1.0,-1.0,-1.0,D4,2012-08-10 00:00:00,24,42.27065,3.18165
2.3,18.0,26.2,24.0,972.2,-1.0,-1.0,-1.0,-1.0,D5,2012-08-10 00:00:00,411.2,41.41843,2.12388
5.7,4.0,24.3,53.0,996.0,-1.0,-1.0,-1.0,-1.0,D6,2012-08-10 00:00:00,196,42.43515,3.16622
3.1,156.0,25.4,58.0,1012.6,-1.0,-1.0,-1.0,-1.0,D7,2012-08-10 00:00:00,53,41.18499,0.59376
0.9,52.0,21.6,63.0,959.8,-1.0,-1.0,-1.0,-1.0,D8,2012-08-10 00:00:00,515,40.95134,0.30565
0.9,340.0,20.4,79.0,1012.7,-1.0,-1.0,-1.0,-1.0,D9,2012-08-10 00:00:00,59,41.21553,1.52121
0.3,18.0,18.1,58.0,981.5,-1.0,-1.0,-1.0,-1.0,H1,2012-08-10 00:00:00,333,41.58642,1.65306
0.5,115.0,20.0,65.0,995.3,-1.0,-1.0,-1.0,-1.0,R1,2012-08-10 00:00:00,210,41.70637,1.87276
-1.0,-1.0,22.2,75.0,-1.0,0.6,5.0,-1.0,-1.0,UA,2012-08-10 00:00:00,93,40.9091,0.76943
-1.0,-1.0,18.5,84.0,-1.0,0.1,248.0,-1.0,-1.0,UB,2012-08-10 00:00:00,15,42.05398,3.06195
-1.0,-1.0,18.5,73.0,-1.0,0.5,233.0,-1.0,-1.0,UC,2012-08-10 00:00:00,60,41.97726,2.99705
-1.0,-1.0,18.0,85.0,-1.0,-1.0,-1.0,-1.0,-1.0,UD,2012-08-10 00:00:00,12,42.02895,3.06227
-1.0,-1.0,19.2,83.0,-1.0,-1.0,-1.0,-1.0,-1.0,UE,2012-08-10 00:00:00,4,42.02306,3.15719
-1.0,-1.0,23.1,26.0,-1.0,1.1,195.0,-1.0,-1.0,UF,2012-08-10 00:00:00,573,41.28832,1.90775
