vel10,ang10,T,HR,P,vel2,ang2,vel6,ang6,station,date,altitud,latitud,longitud
1.5,7.0,20.6,57.0,939.0,-1.0,-1.0,-1.0,-1.0,CA,2009-08-06 00:00:00,693,41.95378,1.5851
0.7,212.0,18.9,77.0,946.0,-1.0,-1.0,-1.0,-1.0,CC,2009-08-06 00:00:00,626,42.07398,2.20862
3.4,36.0,22.3,56.0,922.0,-1.0,-1.0,-1.0,-1.0,CD,2009-08-06 00:00:00,849,42.37083,1.43277
2.0,306.0,20.6,58.0,980.0,-1.0,-1.0,-1.0,-1.0,CE,2009-08-06 00:00:00,316,41.53109,1.80813
2.1,8.0,17.6,72.0,865.0,-1.0,-1.0,-1.0,-1.0,CG,2009-08-06 00:00:00,1405,42.37717,2.41456
0.4,165.0,16.3,94.0,921.0,-1.0,-1.0,-1.0,-1.0,CI,2009-08-06 00:00:00,852,42.25839,2.36429
1.2,212.0,21.5,70.0,953.0,-1.0,-1.0,-1.0,-1.0,CJ,2009-08-06 00:00:00,566.5,42.21624,1.33132
0.7,169.0,17.7,67.0,977.0,-1.0,-1.0,-1.0,-1.0,CL,2009-08-06 00:00:00,349,41.67399,1.76796
3.1,102.0,20.5,75.0,939.0,-1.0,-1.0,-1.0,-1.0,CP,2009-08-06 00:00:00,690,42.13924,1.03893
0.9,22.0,21.8,65.0,950.0,-1.0,-1.0,-1.0,-1.0,CQ,2009-08-06 00:00:00,594,41.99546,1.02569
1.6,286.0,18.8,71.0,920.0,-1.0,-1.0,-1.0,-1.0,CR,2009-08-06 00:00:00,873,42.08032,1.9624
1.0,358.0,20.2,81.0,924.0,-1.0,-1.0,-1.0,-1.0,CT,2009-08-06 00:00:00,823,42.39811,0.74362
1.2,177.0,17.2,89.0,907.0,-1.0,-1.0,-1.0,-1.0,CU,2009-08-06 00:00:00,1002,42.69856,0.79397
1.2,257.0,21.8,78.0,957.0,-1.0,-1.0,-1.0,-1.0,CV,2009-08-06 00:00:00,513.3,42.23939,0.96434
2.3,35.0,20.2,87.0,966.0,-1.0,-1.0,-1.0,-1.0,CW,2009-08-06 00:00:00,446,41.39241,1.09894
1.6,241.0,20.6,55.0,926.0,-1.0,-1.0,-1.0,-1.0,CY,2009-08-06 00:00:00,816,41.87813,2.17873
3.2,99.0,20.2,73.0,985.0,-1.0,-1.0,-1.0,-1.0,C6,2009-08-06 00:00:00,264,41.6566,0.95172
1.4,319.0,22.1,62.0,968.0,-1.0,-1.0,-1.0,-1.0,C7,2009-08-06 00:00:00,427,41.66695,1.16234
2.3,162.0,20.3,66.0,953.0,-1.0,-1.0,-1.0,-1.0,C8,2009-08-06 00:00:00,554,41.67555,1.29609
2.2,186.0,21.9,89.0,988.0,-1.0,-1.0,-1.0,-1.0,C9,2009-08-06 00:00:00,240,40.71825,0.39988
1.3,145.0,23.2,94.0,995.0,-1.0,-1.0,-1.0,-1.0,DB,2009-08-06 00:00:00,179,40.87287,0.71581
1.0,225.0,21.0,84.0,967.0,-1.0,-1.0,-1.0,-1.0,DC,2009-08-06 00:00:00,421.5,42.19144,2.48263
1.7,244.0,23.7,62.0,1011.0,-1.0,-1.0,-1.0,-1.0,DD,2009-08-06 00:00:00,44.5,41.51175,2.38674
0.8,177.0,21.8,71.0,1012.0,-1.0,-1.0,-1.0,-1.0,DF,2009-08-06 00:00:00,28.6,41.97751,3.03543
1.7,28.0,13.4,69.0,810.0,-1.0,-1.0,-1.0,-1.0,DG,2009-08-06 00:00:00,1971.4,42.39848,2.15517
1.4,286.0,19.5,74.0,969.0,-1.0,-1.0,-1.0,-1.0,DI,2009-08-06 00:00:00,415,41.43292,1.62386
1.0,22.0,21.8,80.0,995.0,-1.0,-1.0,-1.0,-1.0,DJ,2009-08-06 00:00:00,176,42.11653,2.78969
0.8,316.0,23.7,82.0,1016.0,-1.0,-1.0,-1.0,-1.0,DK,2009-08-06 00:00:00,2,41.14677,1.41846
0.9,123.0,23.5,91.0,1015.0,-1.0,-1.0,-1.0,-1.0,DL,2009-08-06 00:00:00,0.5,40.70719,0.83449
0.5,185.0,22.2,71.0,1005.0,-1.0,-1.0,-1.0,-1.0,DM,2009-08-06 00:00:00,90,41.96012,2.80696
0.4,76.0,18.9,96.0,998.0,-1.0,-1.0,-1.0,-1.0,DN,2009-08-06 00:00:00,150,41.96095,2.63108
1.2,280.0,20.8,77.0,1014.0,-1.0,-1.0,-1.0,-1.0,DO,2009-08-06 00:00:00,14,41.80857,3.03241
1.8,63.0,14.6,88.0,897.0,-1.0,-1.0,-1.0,-1.0,DP,2009-08-06 00:00:00,1097,42.38605,1.8664
1.5,32.0,20.5,87.0,984.0,-1.0,-1.0,-1.0,-1.0,DQ,2009-08-06 00:00:00,287,41.30728,1.36259
-1.0,-1.0,24.6,49.0,970.0,-1.0,-1.0,-1.0,-1.0,D1,2009-08-06 00:00:00,404,41.28521,0.75383
-1.0,-1.0,18.7,79.0,977.0,-1.0,-1.0,-1.0,-1.0,D2,2009-08-06 00:00:00,343,41.59252,1.915
2.0,294.0,22.3,81.0,987.0,-1.0,-1.0,-1.0,-1.0,D3,2009-08-06 00:00:00,252,41.38197,1.93564
0.8,123.0,23.9,68.0,1012.0,-1.0,-1.0,-1.0,-1.0,D4,2009-08-06 00:00:00,24,42.27065,3.18165
8.4,284.0,22.8,55.0,970.0,-1.0,-1.0,-1.0,-1.0,D5,2009-08-06 00:00:00,411.2,41.41843,2.12388
0.9,167.0,25.3,52.0,992.0,-1.0,-1.0,-1.0,-1.0,D6,2009-08-06 00:00:00,196,42.43515,3.16622
2.0,125.0,25.7,67.0,1009.0,-1.0,-1.0,-1.0,-1.0,D7,2009-08-06 00:00:00,53,41.18499,0.59376
4.2,133.0,24.7,47.0,957.0,-1.0,-1.0,-1.0,-1.0,D8,2009-08-06 00:00:00,515,40.95134,0.30565
0.7,15.0,22.6,84.0,1010.0,-1.0,-1.0,-1.0,-1.0,D9,2009-08-06 00:00:00,59,41.21553,1.52121
1.1,354.0,17.9,79.0,979.0,-1.0,-1.0,-1.0,-1.0,H1,2009-08-06 00:00:00,333,41.58642,1.65306
0.6,7.0,20.0,56.0,992.0,-1.0,-1.0,-1.0,-1.0,R1,2009-08-06 00:00:00,210,41.70637,1.87276
-1.0,-1.0,24.0,88.0,-1.0,-1.0,-1.0,-1.0,-1.0,UA,2009-08-06 00:00:00,93,40.9091,0.76943
-1.0,-1.0,19.9,92.0,-1.0,0.2,299.0,-1.0,-1.0,UB,2009-08-06 00:00:00,15,42.05398,3.06195
-1.0,-1.0,23.2,70.0,-1.0,1.0,250.0,-1.0,-1.0,UC,2009-08-06 00:00:00,60,41.97726,2.99705
-1.0,-1.0,18.9,91.0,-1.0,-1.0,-1.0,-1.0,-1.0,UD,2009-08-06 00:00:00,12,42.02895,3.06227
-1.0,-1.0,19.7,84.0,-1.0,-1.0,-1.0,-1.0,-1.0,UE,2009-08-06 00:00:00,4,42.02306,3.15719
-1.0,-1.0,19.3,96.0,-1.0,3.6,302.0,-1.0,-1.0,UF,2009-08-06 00:00:00,573,41.28832,1.90775
-1.0,-1.0,22.6,81.0,-1.0,0.3,287.0,-1.0,-1.0,UG,2009-08-06 00:00:00,3,41.29928,2.03787
-1.0,-1.0,18.4,92.0,-1.0,0.2,257.0,0.8,269.0,UH,2009-08-06 00:00:00,545,41.34171,1.48769
-1.0,-1.0,17.9,68.0,-1.0,0.7,273.0,-1.0,-1.0,UI,2009-08-06 00:00:00,1386,42.26477,1.76218
-1.0,-1.0,17.0,85.0,-1.0,-1.0,-1.0,-1.0,-1.0,UJ,2009-08-06 00:00:00,709,41.52879,1.3683
-1.0,-1.0,21.8,92.0,-1.0,0.6,35.0,-1.0,-1.0,UK,2009-08-06 00:00:00,161,41.27861,1.80479
-1.0,-1.0,20.5,80.0,-1.0,-1.0,-1.0,-1.0,-1.0,UL,2009-08-06 00:00:00,228,41.52911,0.75303
-1.0,-1.0,22.2,62.0,-1.0,-1.0,-1.0,-1.0,-1.0,UM,2009-08-06 00:00:00,505,41.35991,0.66789
-1.0,-1.0,18.2,86.0,-1.0,-1.0,-1.0,-1.0,-1.0,UN,2009-08-06 00:00:00,171,41.87449,2.92694
-1.0,-1.0,18.2,96.0,-1.0,-1.0,-1.0,-1.0,-1.0,UO,2009-08-06 00:00:00,97,41.91461,2.82069
-1.0,-1.0,23.2,64.0,1006.0,-1.0,-1.0,-1.0,-1.0,UP,2009-08-06 00:00:00,81,41.51773,2.37702
-1.0,-1.0,21.5,62.0,-1.0,-1.0,-1.0,-1.0,-1.0,UQ,2009-08-06 00:00:00,460,41.61991,2.44532
-1.0,-1.0,23.5,90.0,-1.0,-1.0,-1.0,-1.0,-1.0,US,2009-08-06 00:00:00,24,40.55786,0.52329
-1.0,-1.0,23.0,93.0,1016.0,-1.0,-1.0,-1.0,-1.0,UU,2009-08-06 00:00:00,3,40.70776,0.6321
-1.0,-1.0,22.2,91.0,-1.0,-1.0,-1.0,-1.0,-1.0,UV,2009-08-06 00:00:00,205,40.71727,0.41633
-1.0,-1.0,25.5,83.0,1016.0,-1.0,-1.0,-1.0,-1.0,UW,2009-08-06 00:00:00,0,40.62725,0.65922
-1.0,-1.0,20.4,97.0,-1.0,-1.0,-1.0,-1.0,-1.0,UX,2009-08-06 00:00:00,210,40.62652,0.37112
-1.0,-1.0,19.9,71.0,-1.0,-1.0,-1.0,-1.0,-1.0,UY,2009-08-06 00:00:00,576,41.87912,0.76103
-1.0,-1.0,20.5,76.0,-1.0,-1.0,-1.0,-1.0,-1.0,U1,2009-08-06 00:00:00,31,42.30648,2.95481
1.3,256.0,19.2,92.0,1015.0,-1.0,-1.0,-1.0,-1.0,U2,2009-08-06 00:00:00,4,42.17716,3.0968
-1.0,-1.0,18.8,85.0,-1.0,0.8,333.0,-1.0,-1.0,U3,2009-08-06 00:00:00,257,41.37491,1.63032
1.0,339.0,20.5,66.0,-1.0,0.6,0.0,-1.0,-1.0,U4,2009-08-06 00:00:00,507,41.83094,1.84699
-1.0,-1.0,17.8,78.0,-1.0,-1.0,-1.0,-1.0,-1.0,U5,2009-08-06 00:00:00,969,41.31349,0.99611
-1.0,-1.0,22.6,77.0,-1.0,0.3,348.0,-1.0,-1.0,U6,2009-08-06 00:00:00,29,41.08017,1.06661
-1.0,-1.0,24.3,84.0,-1.0,-1.0,-1.0,-1.0,-1.0,U7,2009-08-06 00:00:00,52,40.85936,0.50525
-1.0,-1.0,23.6,88.0,-1.0,-1.0,-1.0,-1.0,-1.0,U9,2009-08-06 00:00:00,62,40.76947,0.61635
-1.0,-1.0,23.2,79.0,-1.0,-1.0,-1.0,-1.0,-1.0,VA,2009-08-06 00:00:00,257,41.19645,0.51161
-1.0,-1.0,25.5,72.0,-1.0,-1.0,-1.0,-1.0,-1.0,VB,2009-08-06 00:00:00,32,41.06289,0.63517
-1.0,-1.0,25.6,67.0,-1.0,-1.0,-1.0,-1.0,-1.0,VC,2009-08-06 00:00:00,69,41.24415,0.43266
