vel10,ang10,T,HR,P,vel2,ang2,vel6,ang6,station,date,altitud,latitud,longitud
1.0,266.0,12.0,70.0,934.7,-1.0,-1.0,-1.0,-1.0,CA,2010-12-09 00:00:00,693,41.95378,1.5851
0.9,236.0,7.0,89.0,941.6,-1.0,-1.0,-1.0,-1.0,CC,2010-12-09 00:00:00,626,42.07398,2.20862
0.9,50.0,6.3,89.0,918.0,-1.0,-1.0,-1.0,-1.0,CD,2010-12-09 00:00:00,849,42.37083,1.43277
2.2,320.0,13.7,70.0,976.7,-1.0,-1.0,-1.0,-1.0,CE,2010-12-09 00:00:00,316,41.53109,1.80813
2.4,3.0,5.2,74.0,857.7,-1.0,-1.0,-1.0,-1.0,CG,2010-12-09 00:00:00,1405,42.37717,2.41456
0.2,166.0,3.4,89.0,916.5,-1.0,-1.0,-1.0,-1.0,CI,2010-12-09 00:00:00,852,42.25839,2.36429
1.1,331.0,6.2,96.0,949.9,-1.0,-1.0,-1.0,-1.0,CJ,2010-12-09 00:00:00,566.5,42.21624,1.33132
0.3,50.0,7.7,91.0,973.7,-1.0,-1.0,-1.0,-1.0,CL,2010-12-09 00:00:00,349,41.67399,1.76796
2.8,77.0,9.4,84.0,935.6,-1.0,-1.0,-1.0,-1.0,CP,2010-12-09 00:00:00,690,42.13924,1.03893
2.1,4.0,12.7,68.0,945.7,-1.0,-1.0,-1.0,-1.0,CQ,2010-12-09 00:00:00,594,41.99546,1.02569
1.2,280.0,7.4,89.0,914.8,-1.0,-1.0,-1.0,-1.0,CR,2010-12-09 00:00:00,873,42.08032,1.9624
0.5,339.0,5.1,100.0,921.2,-1.0,-1.0,-1.0,-1.0,CT,2010-12-09 00:00:00,823,42.39811,0.74362
1.0,190.0,6.2,88.0,901.1,-1.0,-1.0,-1.0,-1.0,CU,2010-12-09 00:00:00,1002,42.69856,0.79397
0.3,320.0,7.8,96.0,955.5,-1.0,-1.0,-1.0,-1.0,CV,2010-12-09 00:00:00,513.3,42.23939,0.96434
2.9,259.0,10.4,82.0,962.8,-1.0,-1.0,-1.0,-1.0,CW,2010-12-09 00:00:00,446,41.39241,1.09894
4.2,245.0,12.4,65.0,921.0,-1.0,-1.0,-1.0,-1.0,CY,2010-12-09 00:00:00,816,41.87813,2.17873
2.8,138.0,8.5,91.0,983.3,-1.0,-1.0,-1.0,-1.0,C6,2010-12-09 00:00:00,264,41.6566,0.95172
2.5,146.0,11.2,78.0,964.7,-1.0,-1.0,-1.0,-1.0,C7,2010-12-09 00:00:00,427,41.66695,1.16234
0.4,156.0,8.8,84.0,949.9,-1.0,-1.0,-1.0,-1.0,C8,2010-12-09 00:00:00,554,41.67555,1.29609
-1.0,-1.0,14.4,70.0,985.5,-1.0,-1.0,-1.0,-1.0,C9,2010-12-09 00:00:00,240,40.71825,0.39988
1.8,4.0,15.0,70.0,992.5,-1.0,-1.0,-1.0,-1.0,DB,2010-12-09 00:00:00,179,40.87287,0.71581
0.6,214.0,9.0,75.0,964.4,-1.0,-1.0,-1.0,-1.0,DC,2010-12-09 00:00:00,421.5,42.19144,2.48263
0.5,256.0,14.5,69.0,1008.3,-1.0,-1.0,-1.0,-1.0,DD,2010-12-09 00:00:00,44.5,41.51175,2.38674
1.1,16.0,12.2,80.0,1010.5,-1.0,-1.0,-1.0,-1.0,DF,2010-12-09 00:00:00,28.6,41.97751,3.03543
2.7,34.0,5.2,68.0,800.9,-1.0,-1.0,-1.0,-1.0,DG,2010-12-09 00:00:00,1971.4,42.39848,2.15517
4.8,337.0,15.4,59.0,966.1,-1.0,-1.0,-1.0,-1.0,DI,2010-12-09 00:00:00,415,41.43292,1.62386
1.7,339.0,13.5,63.0,992.8,-1.0,-1.0,-1.0,-1.0,DJ,2010-12-09 00:00:00,176,42.11653,2.78969
1.3,334.0,13.8,79.0,1013.3,-1.0,-1.0,-1.0,-1.0,DK,2010-12-09 00:00:00,2,41.14677,1.41846
1.3,310.0,14.3,86.0,1012.8,-1.0,-1.0,-1.0,-1.0,DL,2010-12-09 00:00:00,0.5,40.70719,0.83449
1.2,106.0,14.5,64.0,995.8,-1.0,-1.0,-1.0,-1.0,DN,2010-12-09 00:00:00,150,41.96095,2.63108
0.9,243.0,11.6,78.0,1012.0,-1.0,-1.0,-1.0,-1.0,DO,2010-12-09 00:00:00,14,41.80857,3.03241
0.5,194.0,1.2,96.0,890.5,-1.0,-1.0,-1.0,-1.0,DP,2010-12-09 00:00:00,1097,42.38605,1.8664
2.5,3.0,13.1,69.0,980.8,-1.0,-1.0,-1.0,-1.0,DQ,2010-12-09 00:00:00,287,41.30728,1.36259
-1.0,-1.0,10.2,86.0,967.4,-1.0,-1.0,-1.0,-1.0,D1,2010-12-09 00:00:00,404,41.28521,0.75383
-1.0,-1.0,7.6,97.0,974.2,-1.0,-1.0,-1.0,-1.0,D2,2010-12-09 00:00:00,343,41.59252,1.915
1.5,291.0,15.0,64.0,984.2,-1.0,-1.0,-1.0,-1.0,D3,2010-12-09 00:00:00,252,41.38197,1.93564
5.5,36.0,16.2,65.0,1010.3,-1.0,-1.0,-1.0,-1.0,D4,2010-12-09 00:00:00,24,42.27065,3.18165
6.2,314.0,15.5,54.0,966.0,-1.0,-1.0,-1.0,-1.0,D5,2010-12-09 00:00:00,411.2,41.41843,2.12388
7.7,12.0,14.2,64.0,989.8,-1.0,-1.0,-1.0,-1.0,D6,2010-12-09 00:00:00,196,42.43515,3.16622
0.8,356.0,8.6,98.0,1008.3,-1.0,-1.0,-1.0,-1.0,D7,2010-12-09 00:00:00,53,41.18499,0.59376
1.6,250.0,12.9,64.0,954.3,-1.0,-1.0,-1.0,-1.0,D8,2010-12-09 00:00:00,515,40.95134,0.30565
0.4,308.0,10.9,87.0,1006.9,-1.0,-1.0,-1.0,-1.0,D9,2010-12-09 00:00:00,59,41.21553,1.52121
0.9,59.0,7.2,93.0,975.7,-1.0,-1.0,-1.0,-1.0,H1,2010-12-09 00:00:00,333,41.58642,1.65306
0.6,80.0,7.2,91.0,990.0,-1.0,-1.0,-1.0,-1.0,R1,2010-12-09 00:00:00,210,41.70637,1.87276
-1.0,-1.0,13.8,78.0,-1.0,0.7,277.0,-1.0,-1.0,UA,2010-12-09 00:00:00,93,40.9091,0.76943
-1.0,-1.0,10.4,86.0,-1.0,0.3,282.0,-1.0,-1.0,UB,2010-12-09 00:00:00,15,42.05398,3.06195
-1.0,-1.0,11.2,80.0,-1.0,0.9,263.0,-1.0,-1.0,UC,2010-12-09 00:00:00,60,41.97726,2.99705
-1.0,-1.0,10.6,84.0,-1.0,-1.0,-1.0,-1.0,-1.0,UD,2010-12-09 00:00:00,12,42.02895,3.06227
-1.0,-1.0,11.0,88.0,-1.0,-1.0,-1.0,-1.0,-1.0,UE,2010-12-09 00:00:00,4,42.02306,3.15719
-1.0,-1.0,13.8,60.0,-1.0,3.1,326.0,-1.0,-1.0,UF,2010-12-09 00:00:00,573,41.28832,1.90775
-1.0,-1.0,11.8,86.0,-1.0,0.2,76.0,-1.0,-1.0,UG,2010-12-09 00:00:00,3,41.29928,2.03787
-1.0,-1.0,13.1,67.0,-1.0,0.0,275.0,0.6,292.0,UH,2010-12-09 00:00:00,545,41.34171,1.48769
