vel10,ang10,T,HR,P,vel2,ang2,vel6,ang6,station,date,altitud,latitud,longitud
1.5,182.0,19.1,79.0,935.3,-1.0,-1.0,-1.0,-1.0,CC,2017-06-28 00:00:00,626,42.07398,2.20862
0.5,344.0,14.0,83.0,912.5,-1.0,-1.0,-1.0,-1.0,CD,2017-06-28 00:00:00,849,42.37083,1.43277
1.1,15.0,20.7,91.0,970.4,-1.0,-1.0,-1.0,-1.0,CE,2017-06-28 00:00:00,316,41.53109,1.80813
1.6,162.0,12.9,97.0,854.2,-1.0,-1.0,-1.0,-1.0,CG,2017-06-28 00:00:00,1405,42.37717,2.41456
1.7,267.0,14.0,94.0,911.8,-1.0,-1.0,-1.0,-1.0,CI,2017-06-28 00:00:00,852,42.25839,2.36429
4.7,35.0,17.9,66.0,942.6,-1.0,-1.0,-1.0,-1.0,CJ,2017-06-28 00:00:00,566.5,42.21624,1.33132
0.7,206.0,18.4,94.0,966.6,-1.0,-1.0,-1.0,-1.0,CL,2017-06-28 00:00:00,349,41.67399,1.76796
0.6,91.0,18.1,66.0,929.5,-1.0,-1.0,-1.0,-1.0,CP,2017-06-28 00:00:00,690,42.13924,1.03893
0.5,57.0,20.7,46.0,939.8,-1.0,-1.0,-1.0,-1.0,CQ,2017-06-28 00:00:00,594,41.99546,1.02569
0.8,243.0,17.7,91.0,909.6,-1.0,-1.0,-1.0,-1.0,CR,2017-06-28 00:00:00,873,42.08032,1.9624
0.4,350.0,11.9,96.0,915.1,-1.0,-1.0,-1.0,-1.0,CT,2017-06-28 00:00:00,823,42.39811,0.74362
0.6,17.0,13.8,92.0,896.1,-1.0,-1.0,-1.0,-1.0,CU,2017-06-28 00:00:00,1002,42.69856,0.79397
4.2,276.0,22.1,41.0,956.0,-1.0,-1.0,-1.0,-1.0,CW,2017-06-28 00:00:00,446,41.39241,1.09894
3.5,186.0,19.2,89.0,915.3,-1.0,-1.0,-1.0,-1.0,CY,2017-06-28 00:00:00,816,41.87813,2.17873
4.0,239.0,20.8,56.0,976.4,-1.0,-1.0,-1.0,-1.0,C6,2017-06-28 00:00:00,264,41.6566,0.95172
3.0,256.0,21.1,51.0,958.5,-1.0,-1.0,-1.0,-1.0,C7,2017-06-28 00:00:00,427,41.66695,1.16234
4.1,259.0,21.0,48.0,944.0,-1.0,-1.0,-1.0,-1.0,C8,2017-06-28 00:00:00,554,41.67555,1.29609
2.6,271.0,25.3,41.0,979.1,-1.0,-1.0,-1.0,-1.0,C9,2017-06-28 00:00:00,240,40.71825,0.39988
7.4,334.0,23.4,46.0,985.5,-1.0,-1.0,-1.0,-1.0,DB,2017-06-28 00:00:00,179,40.87287,0.71581
0.3,193.0,20.1,79.0,1003.2,-1.0,-1.0,-1.0,-1.0,DF,2017-06-28 00:00:00,28.6,41.97751,3.03543
2.1,190.0,11.6,64.0,798.6,-1.0,-1.0,-1.0,-1.0,DG,2017-06-28 00:00:00,1971.4,42.39848,2.15517
1.5,12.0,20.0,95.0,959.7,-1.0,-1.0,-1.0,-1.0,DI,2017-06-28 00:00:00,415,41.43292,1.62386
0.8,154.0,21.4,59.0,986.1,-1.0,-1.0,-1.0,-1.0,DJ,2017-06-28 00:00:00,176,42.11653,2.78969
1.1,336.0,22.1,88.0,1005.5,-1.0,-1.0,-1.0,-1.0,DK,2017-06-28 00:00:00,2,41.14677,1.41846
1.7,358.0,24.7,57.0,1006.1,-1.0,-1.0,-1.0,-1.0,DL,2017-06-28 00:00:00,0.5,40.70719,0.83449
0.7,76.0,22.4,58.0,988.8,-1.0,-1.0,-1.0,-1.0,DN,2017-06-28 00:00:00,150,41.96095,2.63108
2.0,80.0,22.4,70.0,1004.7,-1.0,-1.0,-1.0,-1.0,DO,2017-06-28 00:00:00,14,41.80857,3.03241
0.6,175.0,10.3,100.0,886.3,-1.0,-1.0,-1.0,-1.0,DP,2017-06-28 00:00:00,1097,42.38605,1.8664
3.3,352.0,23.5,45.0,974.0,-1.0,-1.0,-1.0,-1.0,DQ,2017-06-28 00:00:00,287,41.30728,1.36259
2.3,31.0,18.7,67.0,961.6,-1.0,-1.0,-1.0,-1.0,D1,2017-06-28 00:00:00,404,41.28521,0.75383
-1.0,-1.0,21.9,87.0,967.5,-1.0,-1.0,-1.0,-1.0,D2,2017-06-28 00:00:00,343,41.59252,1.915
0.3,293.0,21.6,88.0,977.7,-1.0,-1.0,-1.0,-1.0,D3,2017-06-28 00:00:00,252,41.38197,1.93564
6.0,16.0,22.5,60.0,1003.5,-1.0,-1.0,-1.0,-1.0,D4,2017-06-28 00:00:00,24,42.27065,3.18165
4.1,93.0,21.7,91.0,960.0,-1.0,-1.0,-1.0,-1.0,D5,2017-06-28 00:00:00,411.2,41.41843,2.12388
7.9,346.0,20.9,62.0,983.5,-1.0,-1.0,-1.0,-1.0,D6,2017-06-28 00:00:00,196,42.43515,3.16622
0.9,12.0,20.6,76.0,1000.9,-1.0,-1.0,-1.0,-1.0,D7,2017-06-28 00:00:00,53,41.18499,0.59376
2.1,267.0,20.1,58.0,950.2,-1.0,-1.0,-1.0,-1.0,D8,2017-06-28 00:00:00,515,40.95134,0.30565
0.7,306.0,20.8,91.0,999.3,-1.0,-1.0,-1.0,-1.0,D9,2017-06-28 00:00:00,59,41.21553,1.52121
0.4,314.0,18.1,91.0,968.5,-1.0,-1.0,-1.0,-1.0,H1,2017-06-28 00:00:00,333,41.58642,1.65306
0.9,167.0,17.8,93.0,988.1,-1.0,-1.0,-1.0,-1.0,J5,2017-06-28 00:00:00,158,42.34215,2.83423
-1.0,-1.0,22.7,73.0,-1.0,-1.0,-1.0,-1.0,-1.0,KP,2017-06-28 00:00:00,36,41.73894,2.69436
-1.0,-1.0,17.4,95.0,-1.0,-1.0,-1.0,-1.0,-1.0,MQ,2017-06-28 00:00:00,402,41.92047,1.69584
1.3,211.0,20.1,55.0,950.3,-1.0,-1.0,-1.0,-1.0,MR,2017-06-28 00:00:00,500,41.25079,0.9106
-1.0,-1.0,14.6,99.0,-1.0,-1.0,-1.0,-1.0,-1.0,MS,2017-06-28 00:00:00,938,42.25978,1.97747
-1.0,-1.0,16.1,92.0,-1.0,-1.0,-1.0,-1.0,-1.0,MV,2017-06-28 00:00:00,845,42.13598,1.67295
0.6,359.0,19.7,90.0,981.8,-1.0,-1.0,-1.0,-1.0,R1,2017-06-28 00:00:00,210,41.70637,1.87276
-1.0,-1.0,23.5,56.0,-1.0,1.7,315.0,-1.0,-1.0,UA,2017-06-28 00:00:00,93,40.9091,0.76943
-1.0,-1.0,20.1,84.0,-1.0,0.1,240.0,-1.0,-1.0,UB,2017-06-28 00:00:00,15,42.05398,3.06195
-1.0,-1.0,19.6,82.0,-1.0,0.5,228.0,-1.0,-1.0,UC,2017-06-28 00:00:00,60,41.97726,2.99705
-1.0,-1.0,21.5,71.0,-1.0,-1.0,-1.0,-1.0,-1.0,UE,2017-06-28 00:00:00,4,42.02306,3.15719
-1.0,-1.0,20.4,92.0,-1.0,1.1,75.0,-1.0,-1.0,UF,2017-06-28 00:00:00,573,41.28832,1.90775
-1.0,-1.0,23.7,86.0,-1.0,0.2,312.0,-1.0,-1.0,UG,2017-06-28 00:00:00,3,41.29928,2.03787
-1.0,-1.0,21.2,50.0,-1.0,-1.0,-1.0,0.8,288.0,UH,2017-06-28 00:00:00,545,41.34171,1.48769
-1.0,-1.0,13.7,96.0,-1.0,-1.0,-1.0,-1.0,-1.0,UI,2017-06-28 00:00:00,1386,42.26477,1.76218
-1.0,-1.0,19.3,49.0,-1.0,-1.0,-1.0,2.4,284.0,UJ,2017-06-28 00:00:00,709,41.52879,1.3683
-1.0,-1.0,22.3,89.0,-1.0,-1.0,-1.0,-1.0,-1.0,UK,2017-06-28 00:00:00,161,41.27861,1.80479
-1.0,-1.0,21.1,48.0,-1.0,1.5,214.0,-1.0,-1.0,UM,2017-06-28 00:00:00,505,41.35991,0.66789
-1.0,-1.0,19.6,82.0,-1.0,0.1,103.0,-1.0,-1.0,UN,2017-06-28 00:00:00,171,41.87449,2.92694
-1.0,-1.0,21.3,74.0,-1.0,-1.0,-1.0,-1.0,-1.0,UO,2017-06-28 00:00:00,97,41.91461,2.82069
1.8,81.0,22.4,71.0,997.3,-1.0,-1.0,-1.0,-1.0,UP,2017-06-28 00:00:00,81,41.51773,2.37702
-1.0,-1.0,19.5,79.0,-1.0,2.2,66.0,-1.0,-1.0,UQ,2017-06-28 00:00:00,460,41.61991,2.44532
-1.0,-1.0,20.8,78.0,-1.0,1.0,329.0,-1.0,-1.0,US,2017-06-28 00:00:00,24,40.55786,0.52329
2.8,344.0,24.8,44.0,1005.8,-1.0,-1.0,-1.0,-1.0,UU,2017-06-28 00:00:00,3,40.70776,0.6321
-1.0,-1.0,22.9,61.0,1006.2,1.0,338.0,-1.0,-1.0,UW,2017-06-28 00:00:00,0,40.62725,0.65922
