vel10,ang10,T,HR,P,vel2,ang2,vel6,ang6,station,date,altitud,latitud,longitud
1.6,280.0,10.5,80.0,924.9,-1.0,-1.0,-1.0,-1.0,CA,2010-12-07 00:00:00,693,41.95378,1.5851
1.3,287.0,9.9,84.0,931.6,-1.0,-1.0,-1.0,-1.0,CC,2010-12-07 00:00:00,626,42.07398,2.20862
0.9,3.0,6.6,97.0,907.8,-1.0,-1.0,-1.0,-1.0,CD,2010-12-07 00:00:00,849,42.37083,1.43277
5.0,306.0,14.6,66.0,966.8,-1.0,-1.0,-1.0,-1.0,CE,2010-12-07 00:00:00,316,41.53109,1.80813
1.0,294.0,7.4,64.0,848.5,-1.0,-1.0,-1.0,-1.0,CG,2010-12-07 00:00:00,1405,42.37717,2.41456
-1.0,-1.0,5.6,93.0,906.6,-1.0,-1.0,-1.0,-1.0,CI,2010-12-07 00:00:00,852,42.25839,2.36429
1.5,3.0,5.8,99.0,939.6,-1.0,-1.0,-1.0,-1.0,CJ,2010-12-07 00:00:00,566.5,42.21624,1.33132
0.5,312.0,6.9,91.0,963.9,-1.0,-1.0,-1.0,-1.0,CL,2010-12-07 00:00:00,349,41.67399,1.76796
1.0,172.0,4.6,98.0,926.1,-1.0,-1.0,-1.0,-1.0,CP,2010-12-07 00:00:00,690,42.13924,1.03893
0.8,358.0,9.2,88.0,936.1,-1.0,-1.0,-1.0,-1.0,CQ,2010-12-07 00:00:00,594,41.99546,1.02569
1.1,279.0,8.9,89.0,905.2,-1.0,-1.0,-1.0,-1.0,CR,2010-12-07 00:00:00,873,42.08032,1.9624
0.4,340.0,2.7,100.0,911.6,-1.0,-1.0,-1.0,-1.0,CT,2010-12-07 00:00:00,823,42.39811,0.74362
0.8,54.0,8.1,76.0,889.0,-1.0,-1.0,-1.0,-1.0,CU,2010-12-07 00:00:00,1002,42.69856,0.79397
0.2,318.0,4.6,100.0,946.0,-1.0,-1.0,-1.0,-1.0,CV,2010-12-07 00:00:00,513.3,42.23939,0.96434
1.1,195.0,12.9,69.0,952.9,-1.0,-1.0,-1.0,-1.0,CW,2010-12-07 00:00:00,446,41.39241,1.09894
6.1,246.0,12.2,72.0,911.4,-1.0,-1.0,-1.0,-1.0,CY,2010-12-07 00:00:00,816,41.87813,2.17873
1.3,84.0,6.6,95.0,973.4,-1.0,-1.0,-1.0,-1.0,C6,2010-12-07 00:00:00,264,41.6566,0.95172
2.7,152.0,11.1,79.0,954.9,-1.0,-1.0,-1.0,-1.0,C7,2010-12-07 00:00:00,427,41.66695,1.16234
0.9,185.0,9.6,80.0,940.3,-1.0,-1.0,-1.0,-1.0,C8,2010-12-07 00:00:00,554,41.67555,1.29609
-1.0,-1.0,14.8,63.0,975.5,-1.0,-1.0,-1.0,-1.0,C9,2010-12-07 00:00:00,240,40.71825,0.39988
1.6,262.0,14.8,63.0,982.8,-1.0,-1.0,-1.0,-1.0,DB,2010-12-07 00:00:00,179,40.87287,0.71581
2.2,227.0,11.7,76.0,953.7,-1.0,-1.0,-1.0,-1.0,DC,2010-12-07 00:00:00,421.5,42.19144,2.48263
1.8,237.0,15.2,70.0,997.7,-1.0,-1.0,-1.0,-1.0,DD,2010-12-07 00:00:00,44.5,41.51175,2.38674
4.1,234.0,16.4,65.0,998.8,-1.0,-1.0,-1.0,-1.0,DF,2010-12-07 00:00:00,28.6,41.97751,3.03543
2.3,260.0,4.6,73.0,792.8,-1.0,-1.0,-1.0,-1.0,DG,2010-12-07 00:00:00,1971.4,42.39848,2.15517
