vel10,ang10,T,HR,P,vel2,ang2,vel6,ang6,station,date,altitud,latitud,longitud
0.8,226.0,3.8,73.0,954.5,-1.0,-1.0,-1.0,-1.0,CC,2014-03-09 00:00:00,626,42.07398,2.20862
0.8,283.0,3.7,69.0,929.2,-1.0,-1.0,-1.0,-1.0,CD,2014-03-09 00:00:00,849,42.37083,1.43277
1.3,304.0,6.5,81.0,990.0,-1.0,-1.0,-1.0,-1.0,CE,2014-03-09 00:00:00,316,41.53109,1.80813
0.8,265.0,4.5,34.0,869.2,-1.0,-1.0,-1.0,-1.0,CG,2014-03-09 00:00:00,1405,42.37717,2.41456
2.0,62.0,2.8,52.0,929.6,-1.0,-1.0,-1.0,-1.0,CI,2014-03-09 00:00:00,852,42.25839,2.36429
1.0,317.0,2.4,84.0,961.6,-1.0,-1.0,-1.0,-1.0,CJ,2014-03-09 00:00:00,566.5,42.21624,1.33132
0.3,152.0,2.4,94.0,986.9,-1.0,-1.0,-1.0,-1.0,CL,2014-03-09 00:00:00,349,41.67399,1.76796
2.6,80.0,8.7,58.0,947.0,-1.0,-1.0,-1.0,-1.0,CP,2014-03-09 00:00:00,690,42.13924,1.03893
0.8,113.0,7.2,71.0,957.7,-1.0,-1.0,-1.0,-1.0,CQ,2014-03-09 00:00:00,594,41.99546,1.02569
3.3,52.0,6.4,44.0,926.9,-1.0,-1.0,-1.0,-1.0,CR,2014-03-09 00:00:00,873,42.08032,1.9624
0.7,7.0,-0.6,87.0,932.2,-1.0,-1.0,-1.0,-1.0,CT,2014-03-09 00:00:00,823,42.39811,0.74362
3.5,183.0,5.4,54.0,908.8,-1.0,-1.0,-1.0,-1.0,CU,2014-03-09 00:00:00,1002,42.69856,0.79397
0.4,244.0,3.6,74.0,967.1,-1.0,-1.0,-1.0,-1.0,CV,2014-03-09 00:00:00,513.3,42.23939,0.96434
2.8,64.0,5.5,59.0,974.1,-1.0,-1.0,-1.0,-1.0,CW,2014-03-09 00:00:00,446,41.39241,1.09894
0.8,72.0,6.2,71.0,933.0,-1.0,-1.0,-1.0,-1.0,CY,2014-03-09 00:00:00,816,41.87813,2.17873
3.3,61.0,6.6,73.0,995.7,-1.0,-1.0,-1.0,-1.0,C6,2014-03-09 00:00:00,264,41.6566,0.95172
3.3,80.0,6.8,75.0,976.6,-1.0,-1.0,-1.0,-1.0,C7,2014-03-09 00:00:00,427,41.66695,1.16234
3.3,93.0,7.8,63.0,961.4,-1.0,-1.0,-1.0,-1.0,C8,2014-03-09 00:00:00,554,41.67555,1.29609
1.6,334.0,8.8,89.0,998.7,-1.0,-1.0,-1.0,-1.0,C9,2014-03-09 00:00:00,240,40.71825,0.39988
1.0,62.0,9.8,96.0,1005.9,-1.0,-1.0,-1.0,-1.0,DB,2014-03-09 00:00:00,179,40.87287,0.71581
0.9,206.0,3.9,87.0,978.5,-1.0,-1.0,-1.0,-1.0,DC,2014-03-09 00:00:00,421.5,42.19144,2.48263
0.9,307.0,9.5,63.0,1022.2,-1.0,-1.0,-1.0,-1.0,DD,2014-03-09 00:00:00,44.5,41.51175,2.38674
0.9,221.0,2.7,90.0,1024.9,-1.0,-1.0,-1.0,-1.0,DF,2014-03-09 00:00:00,28.6,41.97751,3.03543
0.6,86.0,-3.2,56.0,810.9,-1.0,-1.0,-1.0,-1.0,DG,2014-03-09 00:00:00,1971.4,42.39848,2.15517
3.1,20.0,9.3,61.0,978.5,-1.0,-1.0,-1.0,-1.0,DI,2014-03-09 00:00:00,415,41.43292,1.62386
1.1,307.0,7.3,79.0,1006.9,-1.0,-1.0,-1.0,-1.0,DJ,2014-03-09 00:00:00,176,42.11653,2.78969
1.7,291.0,7.5,84.0,1027.3,-1.0,-1.0,-1.0,-1.0,DK,2014-03-09 00:00:00,2,41.14677,1.41846
2.2,38.0,11.0,96.0,1027.2,-1.0,-1.0,-1.0,-1.0,DL,2014-03-09 00:00:00,0.5,40.70719,0.83449
1.3,283.0,5.9,78.0,1010.2,-1.0,-1.0,-1.0,-1.0,DN,2014-03-09 00:00:00,150,41.96095,2.63108
2.9,252.0,4.5,85.0,1026.3,-1.0,-1.0,-1.0,-1.0,DO,2014-03-09 00:00:00,14,41.80857,3.03241
1.5,215.0,1.6,54.0,902.2,-1.0,-1.0,-1.0,-1.0,DP,2014-03-09 00:00:00,1097,42.38605,1.8664
2.4,14.0,6.7,61.0,993.3,-1.0,-1.0,-1.0,-1.0,DQ,2014-03-09 00:00:00,287,41.30728,1.36259
-1.0,-1.0,4.3,55.0,978.9,-1.0,-1.0,-1.0,-1.0,D1,2014-03-09 00:00:00,404,41.28521,0.75383
-1.0,-1.0,3.0,93.0,987.3,-1.0,-1.0,-1.0,-1.0,D2,2014-03-09 00:00:00,343,41.59252,1.915
0.9,278.0,7.2,92.0,997.2,-1.0,-1.0,-1.0,-1.0,D3,2014-03-09 00:00:00,252,41.38197,1.93564
0.7,70.0,5.6,87.0,1025.3,-1.0,-1.0,-1.0,-1.0,D4,2014-03-09 00:00:00,24,42.27065,3.18165
6.1,38.0,9.8,48.0,978.4,-1.0,-1.0,-1.0,-1.0,D5,2014-03-09 00:00:00,411.2,41.41843,2.12388
8.4,209.0,14.9,33.0,1003.6,-1.0,-1.0,-1.0,-1.0,D6,2014-03-09 00:00:00,196,42.43515,3.16622
0.5,230.0,7.0,85.0,1021.0,-1.0,-1.0,-1.0,-1.0,D7,2014-03-09 00:00:00,53,41.18499,0.59376
2.4,97.0,9.7,49.0,965.0,-1.0,-1.0,-1.0,-1.0,D8,2014-03-09 00:00:00,515,40.95134,0.30565
1.8,17.0,6.9,85.0,1020.6,-1.0,-1.0,-1.0,-1.0,D9,2014-03-09 00:00:00,59,41.21553,1.52121
0.3,37.0,1.6,100.0,988.5,-1.0,-1.0,-1.0,-1.0,H1,2014-03-09 00:00:00,333,41.58642,1.65306
0.5,102.0,3.2,90.0,1003.4,-1.0,-1.0,-1.0,-1.0,R1,2014-03-09 00:00:00,210,41.70637,1.87276
-1.0,-1.0,10.5,88.0,-1.0,0.9,58.0,-1.0,-1.0,UA,2014-03-09 00:00:00,93,40.9091,0.76943
-1.0,-1.0,2.7,95.0,-1.0,0.3,262.0,-1.0,-1.0,UB,2014-03-09 00:00:00,15,42.05398,3.06195
-1.0,-1.0,1.1,97.0,-1.0,0.6,242.0,-1.0,-1.0,UC,2014-03-09 00:00:00,60,41.97726,2.99705
-1.0,-1.0,3.7,91.0,-1.0,-1.0,-1.0,-1.0,-1.0,UE,2014-03-09 00:00:00,4,42.02306,3.15719
-1.0,-1.0,9.9,47.0,-1.0,2.8,60.0,-1.0,-1.0,UF,2014-03-09 00:00:00,573,41.28832,1.90775
-1.0,-1.0,8.7,86.0,-1.0,0.9,27.0,-1.0,-1.0,UG,2014-03-09 00:00:00,3,41.29928,2.03787
-1.0,-1.0,6.1,69.0,-1.0,0.4,198.0,0.5,135.0,UH,2014-03-09 00:00:00,545,41.34171,1.48769
-1.0,-1.0,3.5,48.0,-1.0,1.1,253.0,-1.0,-1.0,UI,2014-03-09 00:00:00,1386,42.26477,1.76218
-1.0,-1.0,6.4,68.0,-1.0,2.4,63.0,3.4,69.0,UJ,2014-03-09 00:00:00,709,41.52879,1.3683
-1.0,-1.0,7.8,79.0,-1.0,0.5,26.0,-1.0,-1.0,UK,2014-03-09 00:00:00,161,41.27861,1.80479
-1.0,-1.0,5.2,59.0,-1.0,0.5,134.0,-1.0,-1.0,UL,2014-03-09 00:00:00,228,41.52911,0.75303
-1.0,-1.0,2.9,59.0,-1.0,1.3,132.0,-1.0,-1.0,UM,2014-03-09 00:00:00,505,41.35991,0.66789
-1.0,-1.0,2.4,100.0,-1.0,0.0,34.0,-1.0,-1.0,UN,2014-03-09 00:00:00,171,41.87449,2.92694
-1.0,-1.0,0.6,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,UO,2014-03-09 00:00:00,97,41.91461,2.82069
2.4,326.0,8.5,64.0,1017.0,-1.0,-1.0,-1.0,-1.0,UP,2014-03-09 00:00:00,81,41.51773,2.37702
-1.0,-1.0,9.1,50.0,-1.0,0.7,27.0,-1.0,-1.0,UQ,2014-03-09 00:00:00,460,41.61991,2.44532
-1.0,-1.0,7.9,81.0,-1.0,1.0,333.0,-1.0,-1.0,US,2014-03-09 00:00:00,24,40.55786,0.52329
1.5,312.0,8.9,97.0,1027.1,-1.0,-1.0,-1.0,-1.0,UU,2014-03-09 00:00:00,3,40.70776,0.6321
-1.0,-1.0,9.4,94.0,1027.5,1.6,338.0,-1.0,-1.0,UW,2014-03-09 00:00:00,0,40.62725,0.65922
-1.0,-1.0,8.2,92.0,-1.0,0.8,324.0,-1.0,-1.0,UX,2014-03-09 00:00:00,210,40.62652,0.37112
-1.0,-1.0,7.0,71.0,-1.0,0.6,80.0,1.6,66.0,UY,2014-03-09 00:00:00,576,41.87912,0.76103
-1.0,-1.0,3.4,97.0,-1.0,0.9,341.0,-1.0,-1.0,U1,2014-03-09 00:00:00,31,42.30648,2.95481
2.3,294.0,4.2,96.0,1027.8,-1.0,-1.0,-1.0,-1.0,U2,2014-03-09 00:00:00,4,42.17716,3.0968
-1.0,-1.0,5.1,73.0,-1.0,1.7,335.0,-1.0,-1.0,U3,2014-03-09 00:00:00,257,41.37491,1.63032
2.7,7.0,7.7,69.0,-1.0,1.3,12.0,-1.0,-1.0,U4,2014-03-09 00:00:00,507,41.83094,1.84699
-1.0,-1.0,8.6,89.0,-1.0,1.1,344.0,-1.0,-1.0,U6,2014-03-09 00:00:00,29,41.08017,1.06661
-1.0,-1.0,7.2,93.0,-1.0,0.2,30.0,-1.0,-1.0,U7,2014-03-09 00:00:00,52,40.85936,0.50525
-1.0,-1.0,10.2,91.0,-1.0,0.6,6.0,-1.0,-1.0,U9,2014-03-09 00:00:00,62,40.76947,0.61635
-1.0,-1.0,8.6,85.0,-1.0,1.3,211.0,-1.0,-1.0,VA,2014-03-09 00:00:00,257,41.19645,0.51161
1.2,35.0,4.7,94.0,-1.0,-1.0,-1.0,-1.0,-1.0,VB,2014-03-09 00:00:00,32,41.06289,0.63517
-1.0,-1.0,8.8,83.0,-1.0,1.2,91.0,-1.0,-1.0,VC,2014-03-09 00:00:00,69,41.24415,0.43266
-1.0,-1.0,6.3,68.0,-1.0,0.5,86.0,-1.0,-1.0,VD,2014-03-09 00:00:00,429,41.68939,1.20381
-1.0,-1.0,3.6,86.0,-1.0,0.1,63.0,-1.0,-1.0,VE,2014-03-09 00:00:00,97,41.48692,0.46058
-1.0,-1.0,7.5,66.0,-1.0,2.7,85.0,-1.0,-1.0,VH,2014-03-09 00:00:00,259,41.65814,0.39301
4.2,84.0,9.1,57.0,992.8,-1.0,-1.0,-1.0,-1.0,VK,2014-03-09 00:00:00,286,41.68328,0.4487
-1.0,-1.0,9.1,61.0,-1.0,1.0,81.0,-1.0,-1.0,VM,2014-03-09 00:00:00,222,41.7145,0.62839
-1.0,-1.0,-0.2,97.0,-1.0,-1.0,-1.0,-1.0,-1.0,VN,2014-03-09 00:00:00,117,41.88244,2.74262
-1.0,-1.0,7.6,44.0,-1.0,0.8,349.0,-1.0,-1.0,VO,2014-03-09 00:00:00,785,42.08745,1.42792
-1.0,-1.0,5.1,84.0,-1.0,1.7,95.0,3.0,96.0,VP,2014-03-09 00:00:00,659,41.80483,1.53853
1.9,0.0,3.5,94.0,1013.5,-1.0,-1.0,-1.0,-1.0,VQ,2014-03-09 00:00:00,112,41.1713,1.16774
9.3,182.0,0.0,45.0,782.6,-1.0,-1.0,-1.0,-1.0,VS,2014-03-09 00:00:00,2247,42.63835,0.77889
-1.0,-1.0,5.1,85.0,-1.0,0.2,317.0,-1.0,-1.0,VU,2014-03-09 00:00:00,421,41.63286,1.91718
0.8,57.0,1.0,93.0,-1.0,-1.0,-1.0,-1.0,-1.0,VV,2014-03-09 00:00:00,528,41.68129,2.02647
-1.0,-1.0,7.6,31.0,-1.0,0.7,307.0,-1.0,-1.0,VX,2014-03-09 00:00:00,1030,41.74761,2.30291
-1.0,-1.0,4.8,65.0,-1.0,-1.0,-1.0,-1.0,-1.0,VY,2014-03-09 00:00:00,240,41.25095,1.29863
-1.0,-1.0,3.4,88.0,-1.0,-1.0,-1.0,-1.0,-1.0,VZ,2014-03-09 00:00:00,83,42.38443,3.00736
-1.0,-1.0,7.3,70.0,-1.0,1.1,44.0,-1.0,-1.0,V1,2014-03-09 00:00:00,238,41.78487,0.82939
-1.0,-1.0,3.0,89.0,-1.0,0.1,305.0,-1.0,-1.0,V3,2014-03-09 00:00:00,509,41.95224,2.23271
