vel10,ang10,T,HR,P,vel2,ang2,vel6,ang6,station,date,altitud,latitud,longitud
0.6,292.0,3.5,80.0,940.9,-1.0,-1.0,-1.0,-1.0,CC,2012-12-25 00:00:00,626,42.07398,2.20862
0.8,304.0,2.7,79.0,917.6,-1.0,-1.0,-1.0,-1.0,CD,2012-12-25 00:00:00,849,42.37083,1.43277
2.2,298.0,7.3,100.0,977.7,-1.0,-1.0,-1.0,-1.0,CE,2012-12-25 00:00:00,316,41.53109,1.80813
3.7,221.0,9.9,22.0,856.9,-1.0,-1.0,-1.0,-1.0,CG,2012-12-25 00:00:00,1405,42.37717,2.41456
0.5,255.0,-0.7,90.0,915.8,-1.0,-1.0,-1.0,-1.0,CI,2012-12-25 00:00:00,852,42.25839,2.36429
1.9,344.0,1.4,89.0,950.2,-1.0,-1.0,-1.0,-1.0,CJ,2012-12-25 00:00:00,566.5,42.21624,1.33132
0.5,273.0,4.5,100.0,973.9,-1.0,-1.0,-1.0,-1.0,CL,2012-12-25 00:00:00,349,41.67399,1.76796
1.8,91.0,4.7,82.0,936.2,-1.0,-1.0,-1.0,-1.0,CP,2012-12-25 00:00:00,690,42.13924,1.03893
2.2,10.0,11.0,35.0,945.1,-1.0,-1.0,-1.0,-1.0,CQ,2012-12-25 00:00:00,594,41.99546,1.02569
1.2,0.0,8.6,59.0,914.2,-1.0,-1.0,-1.0,-1.0,CR,2012-12-25 00:00:00,873,42.08032,1.9624
0.8,331.0,0.1,94.0,921.6,-1.0,-1.0,-1.0,-1.0,CT,2012-12-25 00:00:00,823,42.39811,0.74362
4.8,217.0,15.8,18.0,896.9,-1.0,-1.0,-1.0,-1.0,CU,2012-12-25 00:00:00,1002,42.69856,0.79397
0.2,210.0,1.3,94.0,955.6,-1.0,-1.0,-1.0,-1.0,CV,2012-12-25 00:00:00,513.3,42.23939,0.96434
2.5,229.0,3.5,95.0,962.8,-1.0,-1.0,-1.0,-1.0,CW,2012-12-25 00:00:00,446,41.39241,1.09894
0.8,192.0,11.0,46.0,919.6,-1.0,-1.0,-1.0,-1.0,CY,2012-12-25 00:00:00,816,41.87813,2.17873
2.5,154.0,2.2,100.0,983.8,-1.0,-1.0,-1.0,-1.0,C6,2012-12-25 00:00:00,264,41.6566,0.95172
1.8,197.0,5.5,85.0,964.7,-1.0,-1.0,-1.0,-1.0,C7,2012-12-25 00:00:00,427,41.66695,1.16234
1.7,215.0,8.1,62.0,949.4,-1.0,-1.0,-1.0,-1.0,C8,2012-12-25 00:00:00,554,41.67555,1.29609
1.5,305.0,8.2,100.0,986.7,-1.0,-1.0,-1.0,-1.0,C9,2012-12-25 00:00:00,240,40.71825,0.39988
2.0,51.0,9.2,100.0,994.0,-1.0,-1.0,-1.0,-1.0,DB,2012-12-25 00:00:00,179,40.87287,0.71581
0.6,50.0,6.1,99.0,964.0,-1.0,-1.0,-1.0,-1.0,DC,2012-12-25 00:00:00,421.5,42.19144,2.48263
1.3,281.0,11.5,85.0,1009.6,-1.0,-1.0,-1.0,-1.0,DD,2012-12-25 00:00:00,44.5,41.51175,2.38674
0.4,39.0,10.7,94.0,1011.2,-1.0,-1.0,-1.0,-1.0,DF,2012-12-25 00:00:00,28.6,41.97751,3.03543
3.7,220.0,8.5,19.0,801.5,-1.0,-1.0,-1.0,-1.0,DG,2012-12-25 00:00:00,1971.4,42.39848,2.15517
1.8,278.0,6.9,98.0,966.2,-1.0,-1.0,-1.0,-1.0,DI,2012-12-25 00:00:00,415,41.43292,1.62386
0.5,227.0,9.8,92.0,993.2,-1.0,-1.0,-1.0,-1.0,DJ,2012-12-25 00:00:00,176,42.11653,2.78969
1.3,286.0,11.0,92.0,1015.2,-1.0,-1.0,-1.0,-1.0,DK,2012-12-25 00:00:00,2,41.14677,1.41846
1.5,336.0,11.5,93.0,1015.1,-1.0,-1.0,-1.0,-1.0,DL,2012-12-25 00:00:00,0.5,40.70719,0.83449
0.5,257.0,8.9,88.0,996.5,-1.0,-1.0,-1.0,-1.0,DN,2012-12-25 00:00:00,150,41.96095,2.63108
2.1,243.0,12.0,82.0,1013.0,-1.0,-1.0,-1.0,-1.0,DO,2012-12-25 00:00:00,14,41.80857,3.03241
0.8,237.0,-3.3,91.0,891.1,-1.0,-1.0,-1.0,-1.0,DP,2012-12-25 00:00:00,1097,42.38605,1.8664
1.8,4.0,7.3,96.0,981.6,-1.0,-1.0,-1.0,-1.0,DQ,2012-12-25 00:00:00,287,41.30728,1.36259
-1.0,-1.0,5.6,82.0,967.3,-1.0,-1.0,-1.0,-1.0,D1,2012-12-25 00:00:00,404,41.28521,0.75383
-1.0,-1.0,7.5,98.0,974.3,-1.0,-1.0,-1.0,-1.0,D2,2012-12-25 00:00:00,343,41.59252,1.915
1.0,342.0,8.9,97.0,984.6,-1.0,-1.0,-1.0,-1.0,D3,2012-12-25 00:00:00,252,41.38197,1.93564
0.2,136.0,10.3,95.0,1011.6,-1.0,-1.0,-1.0,-1.0,D4,2012-12-25 00:00:00,24,42.27065,3.18165
2.1,240.0,7.7,94.0,966.1,-1.0,-1.0,-1.0,-1.0,D5,2012-12-25 00:00:00,411.2,41.41843,2.12388
5.4,200.0,10.0,90.0,990.7,-1.0,-1.0,-1.0,-1.0,D6,2012-12-25 00:00:00,196,42.43515,3.16622
3.1,145.0,9.2,97.0,1009.4,-1.0,-1.0,-1.0,-1.0,D7,2012-12-25 00:00:00,53,41.18499,0.59376
2.3,205.0,8.2,67.0,954.6,-1.0,-1.0,-1.0,-1.0,D8,2012-12-25 00:00:00,515,40.95134,0.30565
2.4,19.0,10.2,92.0,1008.4,-1.0,-1.0,-1.0,-1.0,D9,2012-12-25 00:00:00,59,41.21553,1.52121
0.8,337.0,5.5,100.0,976.0,-1.0,-1.0,-1.0,-1.0,H1,2012-12-25 00:00:00,333,41.58642,1.65306
1.3,355.0,5.1,95.0,990.2,-1.0,-1.0,-1.0,-1.0,R1,2012-12-25 00:00:00,210,41.70637,1.87276
-1.0,-1.0,9.8,92.0,-1.0,0.5,334.0,-1.0,-1.0,UA,2012-12-25 00:00:00,93,40.9091,0.76943
-1.0,-1.0,9.4,97.0,-1.0,0.1,100.0,-1.0,-1.0,UB,2012-12-25 00:00:00,15,42.05398,3.06195
-1.0,-1.0,11.7,88.0,-1.0,1.1,230.0,-1.0,-1.0,UC,2012-12-25 00:00:00,60,41.97726,2.99705
-1.0,-1.0,9.8,97.0,-1.0,-1.0,-1.0,-1.0,-1.0,UD,2012-12-25 00:00:00,12,42.02895,3.06227
-1.0,-1.0,10.8,92.0,-1.0,-1.0,-1.0,-1.0,-1.0,UE,2012-12-25 00:00:00,4,42.02306,3.15719
-1.0,-1.0,7.6,100.0,-1.0,2.1,274.0,-1.0,-1.0,UF,2012-12-25 00:00:00,573,41.28832,1.90775
-1.0,-1.0,10.3,92.0,-1.0,0.6,41.0,-1.0,-1.0,UG,2012-12-25 00:00:00,3,41.29928,2.03787
-1.0,-1.0,5.6,92.0,-1.0,0.4,224.0,0.8,229.0,UH,2012-12-25 00:00:00,545,41.34171,1.48769
-1.0,-1.0,12.0,21.0,-1.0,0.8,324.0,-1.0,-1.0,UI,2012-12-25 00:00:00,1386,42.26477,1.76218
-1.0,-1.0,7.4,64.0,-1.0,0.4,262.0,0.9,255.0,UJ,2012-12-25 00:00:00,709,41.52879,1.3683
-1.0,-1.0,9.7,94.0,-1.0,0.3,46.0,-1.0,-1.0,UK,2012-12-25 00:00:00,161,41.27861,1.80479
-1.0,-1.0,2.8,98.0,-1.0,0.4,101.0,-1.0,-1.0,UL,2012-12-25 00:00:00,228,41.52911,0.75303
-1.0,-1.0,6.1,86.0,-1.0,1.3,129.0,-1.0,-1.0,UM,2012-12-25 00:00:00,505,41.35991,0.66789
-1.0,-1.0,10.2,96.0,-1.0,0.4,240.0,-1.0,-1.0,UN,2012-12-25 00:00:00,171,41.87449,2.92694
-1.0,-1.0,10.1,94.0,-1.0,-1.0,-1.0,-1.0,-1.0,UO,2012-12-25 00:00:00,97,41.91461,2.82069
2.3,325.0,11.1,83.0,1004.5,-1.0,-1.0,-1.0,-1.0,UP,2012-12-25 00:00:00,81,41.51773,2.37702
-1.0,-1.0,7.6,94.0,-1.0,1.4,222.0,-1.0,-1.0,UQ,2012-12-25 00:00:00,460,41.61991,2.44532
-1.0,-1.0,9.9,97.0,-1.0,0.5,329.0,-1.0,-1.0,US,2012-12-25 00:00:00,24,40.55786,0.52329
2.0,327.0,10.0,97.0,1014.9,-1.0,-1.0,-1.0,-1.0,UU,2012-12-25 00:00:00,3,40.70776,0.6321
-1.0,-1.0,10.1,93.0,1015.5,1.9,349.0,-1.0,-1.0,UW,2012-12-25 00:00:00,0,40.62725,0.65922
-1.0,-1.0,8.3,100.0,-1.0,0.4,328.0,-1.0,-1.0,UX,2012-12-25 00:00:00,210,40.62652,0.37112
-1.0,-1.0,7.1,65.0,-1.0,0.4,64.0,1.0,45.0,UY,2012-12-25 00:00:00,576,41.87912,0.76103
-1.0,-1.0,9.3,97.0,-1.0,0.3,88.0,-1.0,-1.0,U1,2012-12-25 00:00:00,31,42.30648,2.95481
1.2,343.0,9.5,100.0,1014.1,-1.0,-1.0,-1.0,-1.0,U2,2012-12-25 00:00:00,4,42.17716,3.0968
-1.0,-1.0,7.1,96.0,-1.0,1.2,285.0,-1.0,-1.0,U3,2012-12-25 00:00:00,257,41.37491,1.63032
0.7,237.0,4.9,94.0,-1.0,0.3,285.0,-1.0,-1.0,U4,2012-12-25 00:00:00,507,41.83094,1.84699
-1.0,-1.0,4.4,67.0,-1.0,0.7,46.0,-1.0,-1.0,U5,2012-12-25 00:00:00,969,41.31349,0.99611
-1.0,-1.0,9.5,93.0,-1.0,1.2,338.0,-1.0,-1.0,U6,2012-12-25 00:00:00,29,41.08017,1.06661
-1.0,-1.0,9.7,95.0,-1.0,0.3,17.0,-1.0,-1.0,U7,2012-12-25 00:00:00,52,40.85936,0.50525
-1.0,-1.0,9.8,94.0,-1.0,0.6,326.0,-1.0,-1.0,U9,2012-12-25 00:00:00,62,40.76947,0.61635
-1.0,-1.0,7.5,98.0,-1.0,0.4,218.0,-1.0,-1.0,VA,2012-12-25 00:00:00,257,41.19645,0.51161
1.5,56.0,9.2,95.0,-1.0,-1.0,-1.0,-1.0,-1.0,VB,2012-12-25 00:00:00,32,41.06289,0.63517
-1.0,-1.0,8.0,97.0,-1.0,0.5,90.0,-1.0,-1.0,VC,2012-12-25 00:00:00,69,41.24415,0.43266
-1.0,-1.0,5.5,79.0,-1.0,1.3,199.0,-1.0,-1.0,VD,2012-12-25 00:00:00,429,41.68939,1.20381
-1.0,-1.0,4.0,98.0,-1.0,0.2,40.0,-1.0,-1.0,VE,2012-12-25 00:00:00,97,41.48692,0.46058
-1.0,-1.0,3.5,99.0,-1.0,0.2,67.0,-1.0,-1.0,VF,2012-12-25 00:00:00,122,41.56482,0.54999
-1.0,-1.0,2.6,98.0,-1.0,0.7,163.0,-1.0,-1.0,VH,2012-12-25 00:00:00,259,41.65814,0.39301
-1.0,-1.0,2.8,96.0,-1.0,0.6,141.0,-1.0,-1.0,VJ,2012-12-25 00:00:00,161,41.59957,0.6478
2.1,153.0,3.4,97.0,980.8,-1.0,-1.0,-1.0,-1.0,VK,2012-12-25 00:00:00,286,41.68328,0.4487
-1.0,-1.0,2.0,92.0,-1.0,1.0,179.0,-1.0,-1.0,VM,2012-12-25 00:00:00,222,41.7145,0.62839
-1.0,-1.0,10.4,92.0,-1.0,-1.0,-1.0,-1.0,-1.0,VN,2012-12-25 00:00:00,117,41.88244,2.74262
-1.0,-1.0,9.2,34.0,-1.0,0.8,78.0,-1.0,-1.0,VO,2012-12-25 00:00:00,785,42.08745,1.42792
-1.0,-1.0,8.4,54.0,-1.0,1.0,83.0,1.4,87.0,VP,2012-12-25 00:00:00,659,41.80483,1.53853
1.8,345.0,8.3,100.0,1001.7,-1.0,-1.0,-1.0,-1.0,VQ,2012-12-25 00:00:00,112,41.1713,1.16774
-1.0,-1.0,2.9,98.0,-1.0,1.0,158.0,-1.0,-1.0,VR,2012-12-25 00:00:00,291,41.68994,1.04401
13.1,187.0,2.8,44.0,773.4,-1.0,-1.0,-1.0,-1.0,VS,2012-12-25 00:00:00,2247,42.63835,0.77889
-1.0,-1.0,9.6,93.0,-1.0,0.9,261.0,-1.0,-1.0,VT,2012-12-25 00:00:00,84,41.48401,2.12745
-1.0,-1.0,6.7,98.0,-1.0,0.3,55.0,-1.0,-1.0,VU,2012-12-25 00:00:00,421,41.63286,1.91718
0.6,352.0,5.1,99.0,-1.0,-1.0,-1.0,-1.0,-1.0,VV,2012-12-25 00:00:00,528,41.68129,2.02647
-1.0,-1.0,12.5,26.0,-1.0,0.5,273.0,-1.0,-1.0,VX,2012-12-25 00:00:00,1030,41.74761,2.30291
-1.0,-1.0,7.4,97.0,-1.0,-1.0,-1.0,-1.0,-1.0,VY,2012-12-25 00:00:00,240,41.25095,1.29863
-1.0,-1.0,9.9,96.0,-1.0,-1.0,-1.0,-1.0,-1.0,VZ,2012-12-25 00:00:00,83,42.38443,3.00736
-1.0,-1.0,2.2,95.0,-1.0,0.6,6.0,-1.0,-1.0,V1,2012-12-25 00:00:00,238,41.78487,0.82939
-1.0,-1.0,2.1,93.0,-1.0,0.4,311.0,-1.0,-1.0,V3,2012-12-25 00:00:00,509,41.95224,2.23271
-1.0,-1.0,4.5,71.0,935.1,-1.0,-1.0,0.6,3.0,V4,2012-12-25 00:00:00,684,42.11477,2.21483
-1.0,-1.0,6.2,76.0,-1.0,1.0,113.0,1.3,103.0,V5,2012-12-25 00:00:00,774,42.03947,2.11993
-1.0,-1.0,2.0,95.0,-1.0,0.6,131.0,-1.0,-1.0,V8,2012-12-25 00:00:00,223,41.67279,0.87741
-1.0,-1.0,3.9,81.0,-1.0,0.7,303.0,-1.0,-1.0,WA,2012-12-25 00:00:00,443,41.87694,1.1541
-1.0,-1.0,3.3,98.0,-1.0,1.3,199.0,-1.0,-1.0,WB,2012-12-25 00:00:00,267,41.76036,0.67022
-1.0,-1.0,2.8,95.0,-1.0,2.0,166.0,-1.0,-1.0,WC,2012-12-25 00:00:00,261,41.63642,0.92446
-1.0,-1.0,6.6,96.0,-1.0,0.6,166.0,-1.0,-1.0,WD,2012-12-25 00:00:00,382,41.08671,0.31884
-1.0,-1.0,9.1,93.0,-1.0,0.0,299.0,-1.0,-1.0,WE,2012-12-25 00:00:00,126,41.5444,2.30014
-1.0,-1.0,10.1,89.0,-1.0,-1.0,-1.0,-1.0,-1.0,WF,2012-12-25 00:00:00,108,41.95425,2.77578
-1.0,-1.0,5.4,82.0,-1.0,0.6,91.0,-1.0,-1.0,WG,2012-12-25 00:00:00,301,41.80104,0.64804
-1.0,-1.0,6.2,96.0,-1.0,2.5,154.0,-1.0,-1.0,WI,2012-12-25 00:00:00,350,41.35741,0.4809
-1.0,-1.0,8.1,100.0,-1.0,0.9,118.0,-1.0,-1.0,WJ,2012-12-25 00:00:00,141,41.1223,0.72182
-1.0,-1.0,5.1,83.0,-1.0,0.9,232.0,-1.0,-1.0,WK,2012-12-25 00:00:00,268,41.81949,0.57768
-1.0,-1.0,5.8,79.0,-1.0,1.5,152.0,-1.0,-1.0,WL,2012-12-25 00:00:00,413,41.57236,1.0882
6.8,321.0,14.8,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,WM,2012-12-25 00:00:00,1167,42.10736,1.8267
-1.0,-1.0,15.2,25.0,-1.0,-1.0,-1.0,3.7,249.0,WN,2012-12-25 00:00:00,916,41.59539,1.83751
-1.0,-1.0,9.1,93.0,-1.0,-1.0,-1.0,-1.0,-1.0,WO,2012-12-25 00:00:00,185,41.27151,1.46717
-1.0,-1.0,7.1,100.0,-1.0,0.7,280.0,-1.0,-1.0,WP,2012-12-25 00:00:00,325,41.48518,1.69337
5.9,236.0,10.0,24.0,841.3,-1.0,-1.0,-1.0,-1.0,WQ,2012-12-25 00:00:00,1572,42.0513,0.72952
-1.0,-1.0,6.2,98.0,-1.0,0.4,36.0,-1.0,-1.0,WR,2012-12-25 00:00:00,300,41.2163,0.79748
2.0,271.0,8.4,43.0,904.4,-1.0,-1.0,-1.0,-1.0,WS,2012-12-25 00:00:00,953,41.84008,2.41877
2.4,240.0,12.3,86.0,1014.2,-1.0,-1.0,-1.0,-1.0,WT,2012-12-25 00:00:00,2,41.64707,2.75658
-1.0,-1.0,11.0,85.0,1010.0,-1.0,-1.0,1.8,286.0,WU,2012-12-25 00:00:00,42,41.45215,2.24757
0.4,308.0,0.7,88.0,925.4,-1.0,-1.0,-1.0,-1.0,WV,2012-12-25 00:00:00,788,42.23414,1.87485
-1.0,-1.0,3.9,97.0,-1.0,-1.0,-1.0,-1.0,-1.0,WW,2012-12-25 00:00:00,278,41.79423,1.9368
-1.0,-1.0,7.0,64.0,-1.0,1.8,276.0,-1.0,-1.0,WX,2012-12-25 00:00:00,668,41.9178,0.88175
-1.0,-1.0,8.4,97.0,-1.0,0.3,310.0,-1.0,-1.0,WY,2012-12-25 00:00:00,164,41.43386,1.79429
2.0,3.0,10.9,91.0,1013.4,-1.0,-1.0,-1.0,-1.0,WZ,2012-12-25 00:00:00,17,41.20187,1.63346
-1.0,-1.0,9.2,93.0,-1.0,-1.0,-1.0,-1.0,-1.0,W1,2012-12-25 00:00:00,2,42.24726,3.09021
-1.0,-1.0,9.1,99.0,-1.0,-1.0,-1.0,-1.0,-1.0,W2,2012-12-25 00:00:00,7,42.18259,3.05783
-1.0,-1.0,9.6,92.0,-1.0,-1.0,-1.0,-1.0,-1.0,W3,2012-12-25 00:00:00,4,42.15006,3.06494
-1.0,-1.0,8.1,96.0,-1.0,1.0,340.0,-1.0,-1.0,W4,2012-12-25 00:00:00,240,41.36619,1.72857
-1.0,-1.0,4.8,73.0,-1.0,1.1,122.0,-1.0,-1.0,W5,2012-12-25 00:00:00,490,42.07683,1.31489
-1.0,-1.0,7.8,94.0,-1.0,0.8,343.0,-1.0,-1.0,W6,2012-12-25 00:00:00,158,41.13738,1.0187
-1.0,-1.0,4.0,97.0,-1.0,-1.0,-1.0,-1.0,-1.0,W8,2012-12-25 00:00:00,438,41.44237,1.15998
-1.0,-1.0,5.8,99.0,-1.0,0.5,44.0,-1.0,-1.0,W9,2012-12-25 00:00:00,461,42.14557,2.45451
1.9,251.0,14.5,24.0,924.4,-1.0,-1.0,-1.0,-1.0,XA,2012-12-25 00:00:00,785,41.60257,1.4007
