vel10,ang10,T,HR,P,vel2,ang2,vel6,ang6,station,date,altitud,latitud,longitud
2.9,103.0,22.2,87.0,969.8,-1.0,-1.0,-1.0,-1.0,C7,2020-08-27 00:00:00,427,41.66695,1.16234
1.5,73.0,21.3,92.0,987.7,-1.0,-1.0,-1.0,-1.0,C6,2020-08-27 00:00:00,264,41.6566,0.95172
4.6,229.0,12.6,84.0,-1.0,-1.0,-1.0,-1.0,-1.0,ZD,2020-08-27 00:00:00,2478,42.32211,1.89716
-1.0,-1.0,16.4,96.0,-1.0,-1.0,-1.0,-1.0,-1.0,MV,2020-08-27 00:00:00,845,42.13598,1.67295
-1.0,-1.0,19.6,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,UO,2020-08-27 00:00:00,97,41.91461,2.82069
-1.0,-1.0,23.1,87.0,-1.0,1.2,332.0,-1.0,-1.0,US,2020-08-27 00:00:00,24,40.55786,0.52329
3.8,111.0,21.4,100.0,955.6,-1.0,-1.0,-1.0,-1.0,C8,2020-08-27 00:00:00,554,41.67555,1.29609
1.8,348.0,22.6,94.0,990.3,-1.0,-1.0,-1.0,-1.0,C9,2020-08-27 00:00:00,240,40.71825,0.39988
0.4,215.0,19.8,90.0,948.3,-1.0,-1.0,-1.0,-1.0,CC,2020-08-27 00:00:00,626,42.07398,2.20862
0.5,183.0,20.2,71.0,924.0,-1.0,-1.0,-1.0,-1.0,CD,2020-08-27 00:00:00,849,42.37083,1.43277
1.4,302.0,22.5,100.0,982.4,-1.0,-1.0,-1.0,-1.0,CE,2020-08-27 00:00:00,316,41.53109,1.80813
1.1,2.0,16.1,93.0,866.6,-1.0,-1.0,-1.0,-1.0,CG,2020-08-27 00:00:00,1405,42.37717,2.41456
0.9,69.0,18.0,93.0,923.9,-1.0,-1.0,-1.0,-1.0,CI,2020-08-27 00:00:00,852,42.25839,2.36429
1.4,302.0,20.5,75.0,954.0,-1.0,-1.0,-1.0,-1.0,CJ,2020-08-27 00:00:00,566.5,42.21624,1.33132
0.7,164.0,20.4,94.0,979.0,-1.0,-1.0,-1.0,-1.0,CL,2020-08-27 00:00:00,349,41.67399,1.76796
2.9,97.0,23.5,70.0,941.0,-1.0,-1.0,-1.0,-1.0,CP,2020-08-27 00:00:00,690,42.13924,1.03893
0.3,23.0,22.0,80.0,951.2,-1.0,-1.0,-1.0,-1.0,CQ,2020-08-27 00:00:00,594,41.99546,1.02569
0.6,295.0,19.2,96.0,921.7,-1.0,-1.0,-1.0,-1.0,CR,2020-08-27 00:00:00,873,42.08032,1.9624
0.3,331.0,15.1,89.0,927.4,-1.0,-1.0,-1.0,-1.0,CT,2020-08-27 00:00:00,823,42.39811,0.74362
1.3,189.0,14.5,94.0,908.4,-1.0,-1.0,-1.0,-1.0,CU,2020-08-27 00:00:00,1002,42.69856,0.79397
0.8,197.0,21.6,100.0,967.6,-1.0,-1.0,-1.0,-1.0,CW,2020-08-27 00:00:00,446,41.39241,1.09894
0.9,226.0,20.4,98.0,927.8,-1.0,-1.0,-1.0,-1.0,CY,2020-08-27 00:00:00,816,41.87813,2.17873
2.0,17.0,21.9,85.0,971.6,-1.0,-1.0,-1.0,-1.0,D1,2020-08-27 00:00:00,404,41.28521,0.75383
-1.0,-1.0,20.8,93.0,979.2,-1.0,-1.0,-1.0,-1.0,D2,2020-08-27 00:00:00,343,41.59252,1.915
1.4,298.0,22.5,88.0,989.3,-1.0,-1.0,-1.0,-1.0,D3,2020-08-27 00:00:00,252,41.38197,1.93564
0.5,52.0,22.9,75.0,1015.4,-1.0,-1.0,-1.0,-1.0,D4,2020-08-27 00:00:00,24,42.27065,3.18165
0.8,301.0,23.1,82.0,971.9,-1.0,-1.0,-1.0,-1.0,D5,2020-08-27 00:00:00,411.2,41.41843,2.12388
9.0,347.0,25.4,57.0,994.9,-1.0,-1.0,-1.0,-1.0,D6,2020-08-27 00:00:00,196,42.43515,3.16622
2.5,152.0,25.4,82.0,1011.5,-1.0,-1.0,-1.0,-1.0,D7,2020-08-27 00:00:00,53,41.18499,0.59376
0.5,53.0,22.2,94.0,959.1,-1.0,-1.0,-1.0,-1.0,D8,2020-08-27 00:00:00,515,40.95134,0.30565
0.3,327.0,23.3,91.0,1011.4,-1.0,-1.0,-1.0,-1.0,D9,2020-08-27 00:00:00,59,41.21553,1.52121
1.7,108.0,24.8,96.0,997.3,-1.0,-1.0,-1.0,-1.0,DB,2020-08-27 00:00:00,179,40.87287,0.71581
0.4,186.0,21.5,91.0,1015.1,-1.0,-1.0,-1.0,-1.0,DF,2020-08-27 00:00:00,28.6,41.97751,3.03543
1.0,65.0,12.2,87.0,811.3,-1.0,-1.0,-1.0,-1.0,DG,2020-08-27 00:00:00,1971.4,42.39848,2.15517
1.2,28.0,21.4,97.0,971.7,-1.0,-1.0,-1.0,-1.0,DI,2020-08-27 00:00:00,415,41.43292,1.62386
0.5,42.0,22.6,82.0,997.9,-1.0,-1.0,-1.0,-1.0,DJ,2020-08-27 00:00:00,176,42.11653,2.78969
