vel10,ang10,T,HR,P,vel2,ang2,vel6,ang6,station,date,altitud,latitud,longitud
0.3,280.0,-2.9,88.0,943.7,-1.0,-1.0,-1.0,-1.0,CC,2013-12-02 00:00:00,626,42.07398,2.20862
0.7,352.0,-2.0,56.0,919.9,-1.0,-1.0,-1.0,-1.0,CD,2013-12-02 00:00:00,849,42.37083,1.43277
0.9,359.0,3.6,64.0,980.0,-1.0,-1.0,-1.0,-1.0,CE,2013-12-02 00:00:00,316,41.53109,1.80813
1.8,21.0,1.1,29.0,857.1,-1.0,-1.0,-1.0,-1.0,CG,2013-12-02 00:00:00,1405,42.37717,2.41456
0.3,202.0,-6.3,93.0,917.7,-1.0,-1.0,-1.0,-1.0,CI,2013-12-02 00:00:00,852,42.25839,2.36429
7.4,22.0,1.7,45.0,951.5,-1.0,-1.0,-1.0,-1.0,CJ,2013-12-02 00:00:00,566.5,42.21624,1.33132
0.6,179.0,-3.1,96.0,977.2,-1.0,-1.0,-1.0,-1.0,CL,2013-12-02 00:00:00,349,41.67399,1.76796
2.0,60.0,1.5,41.0,937.7,-1.0,-1.0,-1.0,-1.0,CP,2013-12-02 00:00:00,690,42.13924,1.03893
1.6,3.0,-2.3,84.0,948.4,-1.0,-1.0,-1.0,-1.0,CQ,2013-12-02 00:00:00,594,41.99546,1.02569
0.4,347.0,-1.6,87.0,915.6,-1.0,-1.0,-1.0,-1.0,CR,2013-12-02 00:00:00,873,42.08032,1.9624
0.6,13.0,-5.9,77.0,922.7,-1.0,-1.0,-1.0,-1.0,CT,2013-12-02 00:00:00,823,42.39811,0.74362
1.4,179.0,-6.6,86.0,905.2,-1.0,-1.0,-1.0,-1.0,CU,2013-12-02 00:00:00,1002,42.69856,0.79397
0.5,278.0,-2.6,65.0,957.8,-1.0,-1.0,-1.0,-1.0,CV,2013-12-02 00:00:00,513.3,42.23939,0.96434
2.8,285.0,1.6,70.0,966.0,-1.0,-1.0,-1.0,-1.0,CW,2013-12-02 00:00:00,446,41.39241,1.09894
1.9,248.0,1.5,69.0,922.2,-1.0,-1.0,-1.0,-1.0,CY,2013-12-02 00:00:00,816,41.87813,2.17873
1.5,234.0,-1.3,88.0,988.3,-1.0,-1.0,-1.0,-1.0,C6,2013-12-02 00:00:00,264,41.6566,0.95172
1.8,212.0,0.6,78.0,968.5,-1.0,-1.0,-1.0,-1.0,C7,2013-12-02 00:00:00,427,41.66695,1.16234
3.3,251.0,0.4,76.0,953.0,-1.0,-1.0,-1.0,-1.0,C8,2013-12-02 00:00:00,554,41.67555,1.29609
3.0,1.0,8.5,40.0,989.0,-1.0,-1.0,-1.0,-1.0,C9,2013-12-02 00:00:00,240,40.71825,0.39988
11.1,10.0,6.0,52.0,996.4,-1.0,-1.0,-1.0,-1.0,DB,2013-12-02 00:00:00,179,40.87287,0.71581
0.7,200.0,-1.7,91.0,966.7,-1.0,-1.0,-1.0,-1.0,DC,2013-12-02 00:00:00,421.5,42.19144,2.48263
1.3,279.0,7.3,53.0,1012.1,-1.0,-1.0,-1.0,-1.0,DD,2013-12-02 00:00:00,44.5,41.51175,2.38674
2.1,172.0,1.6,71.0,1014.5,-1.0,-1.0,-1.0,-1.0,DF,2013-12-02 00:00:00,28.6,41.97751,3.03543
3.8,53.0,0.2,24.0,799.8,-1.0,-1.0,-1.0,-1.0,DG,2013-12-02 00:00:00,1971.4,42.39848,2.15517
7.2,321.0,6.4,42.0,967.8,-1.0,-1.0,-1.0,-1.0,DI,2013-12-02 00:00:00,415,41.43292,1.62386
0.9,270.0,0.8,82.0,996.4,-1.0,-1.0,-1.0,-1.0,DJ,2013-12-02 00:00:00,176,42.11653,2.78969
1.4,301.0,8.3,45.0,1017.8,-1.0,-1.0,-1.0,-1.0,DK,2013-12-02 00:00:00,2,41.14677,1.41846
4.0,338.0,8.3,60.0,1018.0,-1.0,-1.0,-1.0,-1.0,DL,2013-12-02 00:00:00,0.5,40.70719,0.83449
0.8,79.0,-1.8,96.0,999.5,-1.0,-1.0,-1.0,-1.0,DN,2013-12-02 00:00:00,150,41.96095,2.63108
2.4,254.0,2.9,61.0,1016.0,-1.0,-1.0,-1.0,-1.0,DO,2013-12-02 00:00:00,14,41.80857,3.03241
0.4,13.0,-8.9,86.0,893.2,-1.0,-1.0,-1.0,-1.0,DP,2013-12-02 00:00:00,1097,42.38605,1.8664
7.9,351.0,4.6,54.0,983.7,-1.0,-1.0,-1.0,-1.0,DQ,2013-12-02 00:00:00,287,41.30728,1.36259
-1.0,-1.0,-0.9,89.0,972.2,-1.0,-1.0,-1.0,-1.0,D1,2013-12-02 00:00:00,404,41.28521,0.75383
-1.0,-1.0,2.4,71.0,977.0,-1.0,-1.0,-1.0,-1.0,D2,2013-12-02 00:00:00,343,41.59252,1.915
1.4,285.0,5.7,54.0,987.0,-1.0,-1.0,-1.0,-1.0,D3,2013-12-02 00:00:00,252,41.38197,1.93564
5.9,29.0,8.0,50.0,1014.1,-1.0,-1.0,-1.0,-1.0,D4,2013-12-02 00:00:00,24,42.27065,3.18165
10.4,309.0,4.9,51.0,968.0,-1.0,-1.0,-1.0,-1.0,D5,2013-12-02 00:00:00,411.2,41.41843,2.12388
19.7,351.0,5.8,55.0,991.5,-1.0,-1.0,-1.0,-1.0,D6,2013-12-02 00:00:00,196,42.43515,3.16622
2.2,318.0,5.5,61.0,1014.7,-1.0,-1.0,-1.0,-1.0,D7,2013-12-02 00:00:00,53,41.18499,0.59376
3.0,224.0,2.2,71.0,959.5,-1.0,-1.0,-1.0,-1.0,D8,2013-12-02 00:00:00,515,40.95134,0.30565
2.1,359.0,4.8,66.0,1010.8,-1.0,-1.0,-1.0,-1.0,D9,2013-12-02 00:00:00,59,41.21553,1.52121
1.4,292.0,1.9,69.0,978.8,-1.0,-1.0,-1.0,-1.0,H1,2013-12-02 00:00:00,333,41.58642,1.65306
2.0,10.0,-1.5,91.0,993.8,-1.0,-1.0,-1.0,-1.0,R1,2013-12-02 00:00:00,210,41.70637,1.87276
-1.0,-1.0,6.3,56.0,-1.0,2.9,317.0,-1.0,-1.0,UA,2013-12-02 00:00:00,93,40.9091,0.76943
-1.0,-1.0,5.8,56.0,-1.0,1.8,289.0,-1.0,-1.0,UB,2013-12-02 00:00:00,15,42.05398,3.06195
-1.0,-1.0,-0.2,83.0,-1.0,0.9,238.0,-1.0,-1.0,UC,2013-12-02 00:00:00,60,41.97726,2.99705
-1.0,-1.0,6.3,54.0,-1.0,-1.0,-1.0,-1.0,-1.0,UE,2013-12-02 00:00:00,4,42.02306,3.15719
-1.0,-1.0,5.7,46.0,-1.0,2.9,350.0,-1.0,-1.0,UF,2013-12-02 00:00:00,573,41.28832,1.90775
-1.0,-1.0,5.7,65.0,-1.0,2.2,10.0,-1.0,-1.0,UG,2013-12-02 00:00:00,3,41.29928,2.03787
-1.0,-1.0,4.2,47.0,-1.0,1.0,274.0,2.0,282.0,UH,2013-12-02 00:00:00,545,41.34171,1.48769
-1.0,-1.0,1.7,34.0,-1.0,1.0,249.0,-1.0,-1.0,UI,2013-12-02 00:00:00,1386,42.26477,1.76218
-1.0,-1.0,-0.2,73.0,-1.0,3.1,287.0,6.4,290.0,UJ,2013-12-02 00:00:00,709,41.52879,1.3683
-1.0,-1.0,5.3,57.0,-1.0,0.5,169.0,-1.0,-1.0,UK,2013-12-02 00:00:00,161,41.27861,1.80479
-1.0,-1.0,1.9,74.0,-1.0,2.4,216.0,-1.0,-1.0,UL,2013-12-02 00:00:00,228,41.52911,0.75303
-1.0,-1.0,0.8,80.0,-1.0,1.8,205.0,-1.0,-1.0,UM,2013-12-02 00:00:00,505,41.35991,0.66789
-1.0,-1.0,-1.0,87.0,-1.0,0.2,312.0,-1.0,-1.0,UN,2013-12-02 00:00:00,171,41.87449,2.92694
-1.0,-1.0,-3.2,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,UO,2013-12-02 00:00:00,97,41.91461,2.82069
2.7,314.0,7.4,50.0,1006.9,-1.0,-1.0,-1.0,-1.0,UP,2013-12-02 00:00:00,81,41.51773,2.37702
-1.0,-1.0,2.2,68.0,-1.0,0.2,45.0,-1.0,-1.0,UQ,2013-12-02 00:00:00,460,41.61991,2.44532
-1.0,-1.0,8.4,50.0,-1.0,0.9,333.0,-1.0,-1.0,US,2013-12-02 00:00:00,24,40.55786,0.52329
