vel10,ang10,T,HR,P,vel2,ang2,vel6,ang6,station,date,altitud,latitud,longitud
0.5,215.0,3.5,80.0,944.7,-1.0,-1.0,-1.0,-1.0,CC,2013-12-24 00:00:00,626,42.07398,2.20862
0.1,219.0,2.7,75.0,921.0,-1.0,-1.0,-1.0,-1.0,CD,2013-12-24 00:00:00,849,42.37083,1.43277
2.2,261.0,6.1,79.0,981.8,-1.0,-1.0,-1.0,-1.0,CE,2013-12-24 00:00:00,316,41.53109,1.80813
6.4,215.0,6.1,54.0,857.0,-1.0,-1.0,-1.0,-1.0,CG,2013-12-24 00:00:00,1405,42.37717,2.41456
4.0,220.0,3.9,73.0,917.3,-1.0,-1.0,-1.0,-1.0,CI,2013-12-24 00:00:00,852,42.25839,2.36429
0.6,277.0,1.5,84.0,953.2,-1.0,-1.0,-1.0,-1.0,CJ,2013-12-24 00:00:00,566.5,42.21624,1.33132
0.4,172.0,1.2,99.0,978.4,-1.0,-1.0,-1.0,-1.0,CL,2013-12-24 00:00:00,349,41.67399,1.76796
0.0,227.0,4.1,73.0,939.7,-1.0,-1.0,-1.0,-1.0,CP,2013-12-24 00:00:00,690,42.13924,1.03893
1.2,0.0,3.8,84.0,949.7,-1.0,-1.0,-1.0,-1.0,CQ,2013-12-24 00:00:00,594,41.99546,1.02569
2.0,255.0,7.6,67.0,917.4,-1.0,-1.0,-1.0,-1.0,CR,2013-12-24 00:00:00,873,42.08032,1.9624
0.3,134.0,1.5,87.0,924.1,-1.0,-1.0,-1.0,-1.0,CT,2013-12-24 00:00:00,823,42.39811,0.74362
2.2,196.0,8.8,47.0,899.5,-1.0,-1.0,-1.0,-1.0,CU,2013-12-24 00:00:00,1002,42.69856,0.79397
0.2,197.0,2.6,83.0,959.2,-1.0,-1.0,-1.0,-1.0,CV,2013-12-24 00:00:00,513.3,42.23939,0.96434
1.6,262.0,1.9,93.0,967.1,-1.0,-1.0,-1.0,-1.0,CW,2013-12-24 00:00:00,446,41.39241,1.09894
4.2,246.0,7.5,64.0,923.9,-1.0,-1.0,-1.0,-1.0,CY,2013-12-24 00:00:00,816,41.87813,2.17873
1.0,221.0,0.9,100.0,988.6,-1.0,-1.0,-1.0,-1.0,C6,2013-12-24 00:00:00,264,41.6566,0.95172
2.4,146.0,5.2,77.0,969.0,-1.0,-1.0,-1.0,-1.0,C7,2013-12-24 00:00:00,427,41.66695,1.16234
