vel10,ang10,T,HR,P,vel2,ang2,vel6,ang6,station,date,altitud,latitud,longitud
1.1,27.0,19.4,67.0,938.0,-1.0,-1.0,-1.0,-1.0,CA,2009-07-03 00:00:00,693,41.95378,1.5851
0.6,205.0,17.6,88.0,945.0,-1.0,-1.0,-1.0,-1.0,CC,2009-07-03 00:00:00,626,42.07398,2.20862
1.0,282.0,18.8,61.0,922.0,-1.0,-1.0,-1.0,-1.0,CD,2009-07-03 00:00:00,849,42.37083,1.43277
1.3,359.0,20.3,73.0,980.0,-1.0,-1.0,-1.0,-1.0,CE,2009-07-03 00:00:00,316,41.53109,1.80813
1.2,318.0,14.5,89.0,864.0,-1.0,-1.0,-1.0,-1.0,CG,2009-07-03 00:00:00,1405,42.37717,2.41456
0.1,202.0,15.7,93.0,921.0,-1.0,-1.0,-1.0,-1.0,CI,2009-07-03 00:00:00,852,42.25839,2.36429
0.8,331.0,17.7,73.0,953.0,-1.0,-1.0,-1.0,-1.0,CJ,2009-07-03 00:00:00,566.5,42.21624,1.33132
0.1,198.0,16.8,73.0,977.0,-1.0,-1.0,-1.0,-1.0,CL,2009-07-03 00:00:00,349,41.67399,1.76796
1.7,61.0,21.3,50.0,938.0,-1.0,-1.0,-1.0,-1.0,CP,2009-07-03 00:00:00,690,42.13924,1.03893
1.5,358.0,20.0,61.0,949.0,-1.0,-1.0,-1.0,-1.0,CQ,2009-07-03 00:00:00,594,41.99546,1.02569
2.9,48.0,18.1,81.0,919.0,-1.0,-1.0,-1.0,-1.0,CR,2009-07-03 00:00:00,873,42.08032,1.9624
0.5,7.0,15.7,80.0,924.0,-1.0,-1.0,-1.0,-1.0,CT,2009-07-03 00:00:00,823,42.39811,0.74362
1.4,178.0,16.4,91.0,906.0,-1.0,-1.0,-1.0,-1.0,CU,2009-07-03 00:00:00,1002,42.69856,0.79397
0.6,272.0,19.3,65.0,957.0,-1.0,-1.0,-1.0,-1.0,CV,2009-07-03 00:00:00,513.3,42.23939,0.96434
2.6,66.0,20.1,77.0,965.0,-1.0,-1.0,-1.0,-1.0,CW,2009-07-03 00:00:00,446,41.39241,1.09894
0.5,103.0,19.2,70.0,925.0,-1.0,-1.0,-1.0,-1.0,CY,2009-07-03 00:00:00,816,41.87813,2.17873
2.6,65.0,20.0,70.0,985.0,-1.0,-1.0,-1.0,-1.0,C6,2009-07-03 00:00:00,264,41.6566,0.95172
1.6,59.0,21.2,56.0,967.0,-1.0,-1.0,-1.0,-1.0,C7,2009-07-03 00:00:00,427,41.66695,1.16234
2.3,117.0,19.9,57.0,952.0,-1.0,-1.0,-1.0,-1.0,C8,2009-07-03 00:00:00,554,41.67555,1.29609
0.7,60.0,23.2,87.0,988.0,-1.0,-1.0,-1.0,-1.0,C9,2009-07-03 00:00:00,240,40.71825,0.39988
