vel10,ang10,T,HR,P,vel2,ang2,vel6,ang6,station,date,altitud,latitud,longitud
2.7,234.0,-0.4,78.0,940.5,-1.0,-1.0,-1.0,-1.0,CA,2011-02-02 00:00:00,693,41.95378,1.5851
0.5,249.0,-2.2,92.0,947.8,-1.0,-1.0,-1.0,-1.0,CC,2011-02-02 00:00:00,626,42.07398,2.20862
1.0,242.0,0.2,46.0,924.3,-1.0,-1.0,-1.0,-1.0,CD,2011-02-02 00:00:00,849,42.37083,1.43277
0.9,7.0,3.1,67.0,984.2,-1.0,-1.0,-1.0,-1.0,CE,2011-02-02 00:00:00,316,41.53109,1.80813
5.7,359.0,1.4,30.0,861.1,-1.0,-1.0,-1.0,-1.0,CG,2011-02-02 00:00:00,1405,42.37717,2.41456
1.6,222.0,-3.3,91.0,921.3,-1.0,-1.0,-1.0,-1.0,CI,2011-02-02 00:00:00,852,42.25839,2.36429
7.7,27.0,3.2,41.0,956.6,-1.0,-1.0,-1.0,-1.0,CJ,2011-02-02 00:00:00,566.5,42.21624,1.33132
0.2,179.0,-2.6,89.0,981.6,-1.0,-1.0,-1.0,-1.0,CL,2011-02-02 00:00:00,349,41.67399,1.76796
2.9,89.0,1.8,38.0,942.0,-1.0,-1.0,-1.0,-1.0,CP,2011-02-02 00:00:00,690,42.13924,1.03893
1.1,350.0,-2.4,94.0,952.9,-1.0,-1.0,-1.0,-1.0,CQ,2011-02-02 00:00:00,594,41.99546,1.02569
0.2,248.0,-2.0,83.0,919.9,-1.0,-1.0,-1.0,-1.0,CR,2011-02-02 00:00:00,873,42.08032,1.9624
6.4,326.0,7.3,20.0,925.9,-1.0,-1.0,-1.0,-1.0,CT,2011-02-02 00:00:00,823,42.39811,0.74362
2.4,190.0,-4.7,81.0,912.3,-1.0,-1.0,-1.0,-1.0,CU,2011-02-02 00:00:00,1002,42.69856,0.79397
0.9,196.0,2.8,41.0,962.1,-1.0,-1.0,-1.0,-1.0,CV,2011-02-02 00:00:00,513.3,42.23939,0.96434
4.6,262.0,3.2,54.0,970.4,-1.0,-1.0,-1.0,-1.0,CW,2011-02-02 00:00:00,446,41.39241,1.09894
1.6,262.0,1.0,66.0,926.0,-1.0,-1.0,-1.0,-1.0,CY,2011-02-02 00:00:00,816,41.87813,2.17873
3.3,212.0,0.9,74.0,992.6,-1.0,-1.0,-1.0,-1.0,C6,2011-02-02 00:00:00,264,41.6566,0.95172
2.4,211.0,0.5,75.0,972.8,-1.0,-1.0,-1.0,-1.0,C7,2011-02-02 00:00:00,427,41.66695,1.16234
4.0,252.0,-0.1,73.0,957.1,-1.0,-1.0,-1.0,-1.0,C8,2011-02-02 00:00:00,554,41.67555,1.29609
8.2,307.0,6.8,46.0,993.2,-1.0,-1.0,-1.0,-1.0,C9,2011-02-02 00:00:00,240,40.71825,0.39988
10.1,357.0,6.0,49.0,1001.1,-1.0,-1.0,-1.0,-1.0,DB,2011-02-02 00:00:00,179,40.87287,0.71581
1.4,216.0,-0.7,88.0,970.9,-1.0,-1.0,-1.0,-1.0,DC,2011-02-02 00:00:00,421.5,42.19144,2.48263
3.8,298.0,7.6,52.0,1016.0,-1.0,-1.0,-1.0,-1.0,DD,2011-02-02 00:00:00,44.5,41.51175,2.38674
1.9,180.0,0.2,91.0,1018.1,-1.0,-1.0,-1.0,-1.0,DF,2011-02-02 00:00:00,28.6,41.97751,3.03543
9.0,38.0,-3.0,42.0,804.1,-1.0,-1.0,-1.0,-1.0,DG,2011-02-02 00:00:00,1971.4,42.39848,2.15517
7.8,339.0,6.0,42.0,972.4,-1.0,-1.0,-1.0,-1.0,DI,2011-02-02 00:00:00,415,41.43292,1.62386
1.8,303.0,2.6,86.0,1000.0,-1.0,-1.0,-1.0,-1.0,DJ,2011-02-02 00:00:00,176,42.11653,2.78969
4.6,333.0,7.3,49.0,1022.3,-1.0,-1.0,-1.0,-1.0,DK,2011-02-02 00:00:00,2,41.14677,1.41846
